orf_name,standard_name,desc
YCR032W,BPH1,PProtein homologous to human Chediak-Higashi syndrome and murine Beige proteins which are implicated in disease syndromes due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting
YCR033W,SNT1,Subunit of the Set3C deacetylase complex that interacts directly with the Set3C subunit Sif2p; putative DNA-binding protein; mutant has increased aneuploidy tolerance
YCR034W,ELO2,Fatty acid elongase involved in sphingolipid biosynthesis; acts on fatty acids of up to 24 carbons in length; mutations have regulatory effects on 13-beta-glucan synthase vacuolar ATPase and the secretory pathway
YCR035C,RRP43,Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp43p (OIP2 EXOSC8)
YCR037C,PHO87,Low-affinity inorganic phosphate (Pi) transporter involved in activation of PHO pathway; expression is independent of Pi concentration and Pho4p activity; contains 12 membrane-spanning segments
YCR040W,MATALPHA1,Transcriptional co-activator involved in regulation of mating-type-specific gene expression; targets the transcription factor Mcm1p to the promoters of alpha-specific genes; one of two genes encoded by the MATalpha mating type cassette
YCR042C,TAF2,TFIID subunit (150 kDa) involved in RNA polymerase II transcription initiation
YCR044C,PER1,Protein of the endoplasmic reticulum required for GPI-phospholipase A2 activity that remodels the GPI anchor as a prerequisite for association of GPI-anchored proteins with lipid rafts; functionally complemented by human ortholog PERLD1
YCR045C,RRT12,Probable subtilisin-family protease with a role in formation of the dityrosine layer of spore walls; localizes to the spore wall and also the nuclear envelope and ER region in mature spores
YCR047C,BUD23,Methyltransferase methylates residue G1575 of 18S rRNA; required for rRNA processing and nuclear export of 40S ribosomal subunits independently of methylation activity; diploid mutant displays random budding pattern
YCR048W,ARE1,Acyl-CoA:sterol acyltransferase isozyme of Are2p; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the absence of oxygen
YCR052W,RSC6,Component of the RSC chromatin remodeling complex; essential for mitotic growth; homolog of SWI/SNF subunit Swp73p
YCR053W,THR4,Threonine synthase conserved protein that catalyzes formation of threonine from O-phosphohomoserine; expression is regulated by the GCN4-mediated general amino acid control pathway
YCR057C,PWP2,Conserved 90S pre-ribosomal component essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0 A1 and A2 sites; contains eight WD-repeats; PWP2 deletion leads to defects in cell cycle and bud morphogenesis
YCR059C,YIH1,Protein that inhibits activation of Gcn2p an eIF2 alpha subunit protein kinase by competing for Gcn1p binding thus impacting gene expression in response to starvation; has sequence and functional similarity to the mouse IMPACT gene
YCR060W,TAH1,HSP90 cofactor; interacts with Hsp82p Pih1p Rvb1 and Rvb2 contains a single TPR domain with at least two TPR motifs
YCR061W,YCR061W,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; induced by treatment with 8-methoxypsoralen and UVA irradiation
YCR063W,BUD31,Component of the SF3b subcomplex of the U2 snRNP; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern
YCR065W,HCM1,Forkhead transcription factor that drives S-phase specific expression of genes involved in chromosome segregation spindle dynamics and budding; suppressor of calmodulin mutants with specific SPB assembly defects; telomere maintenance role
YCR066W,RAD18,E3 ubiqutin ligase forms heterodimer with Rad6p to monoubiquitinate PCNA-K164; heterodimer binds single-stranded DNA and has single-stranded DNA dependent ATPase activity; required for postreplication repair
YCR067C,SED4,Integral endoplasmic reticulum membrane protein that stimulates Sar1p GTPase activity; involved in COPII vesicle budding through disassociation of coat proteins from membranes onto liposomes; binds Sec16p; similar to Sec12p
YCR068W,ATG15,Lipase required for intravacuolar lysis of autophagic bodies and Cvt bodies; targeted to intravacuolar vesicles during autophagy via the multivesicular body (MVB) pathway
YCR072C,RSA4,WD-repeat protein involved in ribosome biogenesis; may interact with ribosomes; required for maturation and efficient intra-nuclear transport or pre-60S ribosomal subunits localizes to the nucleolus
YCR073C,SSK22,MAP kinase kinase kinase of the HOG1 mitogen-activated signaling pathway; functionally redundant with and homologous to Ssk2p; interacts with and is activated by Ssk1p; phosphorylates Pbs2p
YCR073W-A,SOL2,Protein with a possible role in tRNA export; shows similarity to 6-phosphogluconolactonase non-catalytic domains but does not exhibit this enzymatic activity; homologous to Sol1p Sol3p and Sol4p
YCR077C,PAT1,Topoisomerase II-associated deadenylation-dependent mRNA-decapping factor; also required for faithful chromosome transmission maintenance of rDNA locus stability and protection of mRNA 3'-UTRs from trimming; functionally linked to Pab1p
YCR079W,PTC6,Mitochondrial type 2C protein phosphatase (PP2C) with similarity to mammalian PP1Ks; involved in mitophagy; null mutant is sensitive to rapamycin and has decreased phosphorylation of the Pda1 subunit of pyruvate dehydrogenase
YCR081W,SRB8,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in glucose repression
YCR082W,AHC2,Component of the ADA histone acetyltransferase complex; Ach2p and Ach1p are unique to the ADA complex and not shared with the related SAGA and SLIK complexes; may tether Ach1p to the complex
YCR083W,TRX3,Mitochondrial thioredoxin highly conserved oxidoreductase required to maintain the redox homeostasis of the cell forms the mitochondrial thioredoxin system with Trr2p redox state is maintained by both Trr2p and Glr1p
YCR084C,TUP1,General repressor of transcription forms complex with Cyc8p involved in the establishment of repressive chromatin structure through interactions with histones H3 and H4 appears to enhance expression of some genes
YCR086W,CSM1,Nucleolar protein that forms a complex with Lrs4p and then Mam1p at kinetochores during meiosis I to mediate accurate homolog segregation; required for condensin recruitment to the replication fork barrier site and rDNA repeat segregation
YCR088W,ABP1,Actin-binding protein of the cortical actin cytoskeleton important for activation of the Arp2/3 complex that plays a key role actin in cytoskeleton organization
YCR089W,FIG2,Cell wall adhesin expressed specifically during mating; may be involved in maintenance of cell wall integrity during mating
YCR091W,KIN82,Putative serine/threonine protein kinase implicated in the regulation of phospholipid asymmetry through the activation of phospholipid translocases (flippases) Lem3p-Dnf1p/Dnf2p; similar to Fpk1p
YCR092C,MSH3,Mismatch repair protein forms dimers with Msh2p that mediate repair of insertion or deletion mutations and removal of nonhomologous DNA ends contains a PCNA (Pol30p) binding motif required for genome stability
YCR093W,CDC39,Component of the CCR4-NOT complex which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor
YCR094W,CDC50,Endosomal protein that interacts with phospholipid flippase Drs2p; interaction with Cdc50p is essential for Drs2p catalytic activity; mutations affect cell polarity and polarized growth; similar to Ynr048wp and Lem3p
YCR098C,GIT1,Plasma membrane permease mediates uptake of glycerophosphoinositol and glycerophosphocholine as sources of the nutrients inositol and phosphate; expression and transport rate are regulated by phosphate and inositol availability
YCR102C,YCR102C,Putative protein of unknown function involved in copper metabolism; similar to C. carbonum toxD gene; member of the quinone oxidoreductase family
YCR105W,ADH7,NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance
YCR106W,RDS1,Zinc cluster transcription factor involved in conferring resistance to cycloheximide
YDL002C,NHP10,Protein related to mammalian high mobility group proteins; preferentially binds DNA ends protecting them from exonucleatic cleavage; likely component of the chromatin-remodeling complex INO80 complex; proposed to be involved in DNA repair
YDL003W,MCD1,Essential subunit of the cohesin complex required for sister chromatid cohesion in mitosis and meiosis; apoptosis induces cleavage and translocation of a C-terminal fragment to mitochondria; expression peaks in S phase
YDL004W,ATP16,Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase which is a large evolutionarily conserved enzyme complex required for ATP synthesis; phosphorylated
YDL005C,MED2,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation
YDL006W,PTC1,Type 2C protein phosphatase (PP2C); dephosphorylates Hog1p inactivating osmosensing MAPK cascade; involved in Fus3p activation during pheromone response; deletion affects precursor tRNA splicing mitochondrial inheritance and sporulation
YDL007W,RPT2,One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; required for normal peptide hydrolysis by the core 20S particle
YDL008W,APC11,Catalytic core subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C) which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors including mitotic cyclins during the metaphase/anaphase transition; contains a RING-H2 domain that is required for activity
YDL010W,GRX6,Cis-golgi localized monothiol glutaredoxin that binds an iron-sulfur cluster; more similar in activity to dithiol than other monothiol glutaredoxins; involved in the oxidative stress response; functional overlap with GRX7
YDL013W,SLX5,Subunit of the Slx5-Slx8 SUMO-targeted ubiquitin ligase (STUbL) complex stimulated by SUMO-modified substrates; contains a RING domain and two SIMs (SUMO-interacting motifs); forms SUMO-dependent nuclear foci including DNA repair centers
YDL014W,NOP1,Nucleolar protein component of the small subunit processome complex which is required for processing of pre-18S rRNA; has similarity to mammalian fibrillarin
YDL015C,TSC13,Enoyl reductase that catalyzes the last step in each cycle of very long chain fatty acid elongation localizes to the ER highly enriched in a structure marking nuclear-vacuolar junctions coimmunoprecipitates with elongases Fen1p and Sur4p
YDL017W,CDC7,DDK (Dbf4-dependent kinase) catalytic subunit required for firing origins and replication fork progression in S phase through phosphorylation of Mcm2-7p complexes and Cdc45p; kinase activity correlates with cyclical DBF4 expression
YDL019C,OSH2,Member of an oxysterol-binding protein family with seven members in S. cerevisiae; family members have overlapping redundant functions in sterol metabolism and collectively perform a function essential for viability
YDL020C,RPN4,Transcription factor that stimulates expression of proteasome genes; Rpn4p levels are in turn regulated by the 26S proteasome in a negative feedback control mechanism; RPN4 is transcriptionally regulated by various stress responses
YDL022W,GPD1,NAD-dependent glycerol-3-phosphate dehydrogenase key enzyme of glycerol synthesis essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; homolog of Gpd2p
YDL024C,DIA3,Protein of unknown function involved in invasive and pseudohyphal growth
YDL028C,MPS1,Dual-specificity kinase required for spindle pole body (SPB) duplication and spindle checkpoint function; substrates include SPB proteins Spc42p Spc110p and Spc98p mitotic exit network protein Mob1p and checkpoint protein Mad1p
YDL029W,ARP2,Essential component of the Arp2/3 complex which is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity
YDL030W,PRP9,Subunit of the SF3a splicing factor complex required for spliceosome assembly; acts after the formation of the U1 snRNP-pre-mRNA complex
YDL031W,DBP10,Putative ATP-dependent RNA helicase of the DEAD-box protein family constituent of 66S pre-ribosomal particles; essential protein involved in ribosome biogenesis
YDL035C,GPR1,Plasma membrane G protein coupled receptor (GPCR) that interacts with the heterotrimeric G protein alpha subunit Gpa2p and with Plc1p; sensor that integrates nutritional signals with the modulation of cell fate via PKA and cAMP synthesis
YDL036C,PUS9,Mitochondrial tRNA:pseudouridine synthase catalyzes the formation of pseudouridine at position 32 in mitochondrial tRNAs; contains an N-terminal mitochondrial targeting sequence
YDL040C,NAT1,Subunit of the N-terminal acetyltransferase NatA (Nat1p Ard1p Nat5p); N-terminally acetylates many proteins which influences multiple processes such as the cell cycle heat-shock resistance mating sporulation and telomeric silencing
YDL042C,SIR2,Conserved NAD+ dependent histone deacetylase of the Sirtuin family involved in regulation of lifespan; plays roles in silencing at HML HMR telomeres and the rDNA locus; negatively regulates initiation of DNA replication
YDL043C,PRP11,Subunit of the SF3a splicing factor complex required for spliceosome assembly
YDL044C,MTF2,Mitochondrial matrix protein that interacts with an N-terminal region of mitochondrial RNA polymerase (Rpo41p) and couples RNA processing and translation to transcription
YDL045C,FAD1,Flavin adenine dinucleotide (FAD) synthetase performs the second step in synthesis of FAD from riboflavin
YDL045W-A,MRP10,Mitochondrial ribosomal protein of the small subunit; contains twin cysteine-x9-cysteine motifs
YDL046W,NPC2,Functional homolog of human NPC2/He1 which is a cholesterol-binding protein whose deficiency causes Niemann-Pick type C2 disease involving retention of cholesterol in lysosomes
YDL047W,SIT4,Type 2A-related serine-threonine phosphatase that functions in the G1/S transition of the mitotic cycle; cytoplasmic and nuclear protein that modulates functions mediated by Pkc1p including cell wall and actin cytoskeleton organization
YDL049C,KNH1,Protein with similarity to Kre9p which is involved in cell wall beta 16-glucan synthesis; overproduction suppresses growth defects of a kre9 null mutant; required for propionic acid resistance
YDL051W,LHP1,RNA binding protein required for maturation of tRNA and U6 snRNA precursors; acts as a molecular chaperone for RNAs transcribed by polymerase III; homologous to human La (SS-B) autoantigen
YDL052C,SLC1,1-acyl-sn-glycerol-3-phosphate acyltransferase catalyzes the acylation of lysophosphatidic acid to form phosphatidic acid a key intermediate in lipid metabolism; enzymatic activity detected in lipid particles and microsomes
YDL055C,PSA1,GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase) synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure
YDL056W,MBP1,Transcription factor involved in regulation of cell cycle progression from G1 to S phase forms a complex with Swi6p that binds to MluI cell cycle box regulatory element in promoters of DNA synthesis genes
YDL058W,USO1,Essential protein involved in the vesicle-mediated ER to Golgi transport step of secretion; binds membranes and functions during vesicle docking to the Golgi; required for assembly of the ER-to-Golgi SNARE complex
YDL059C,RAD59,Protein involved in the repair of double-strand breaks in DNA during vegetative growth via recombination and single-strand annealing; anneals complementary single-stranded DNA; homologous to Rad52p
YDL060W,TSR1,Protein required for processing of 20S pre-rRNA in the cytoplasm; associates with pre-40S ribosomal particles; inhibits the premature association of 60S subunits with assembling 40S subunits in the cytoplasm; similar to Bms1p
YDL063C,SYO1,Protein required for biogenesis of the large ribosomal subunit; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus
YDL064W,UBC9,SUMO-conjugating enzyme involved in the Smt3p conjugation pathway; nuclear protein required for S- and M-phase cyclin degradation and mitotic control; involved in proteolysis mediated by the anaphase-promoting complex cyclosome (APCC)
YDL065C,PEX19,Chaperone and import receptor for newly-synthesized class I peroxisomal membrane proteins (PMPs) binds PMPs in the cytoplasm and delivers them to the peroxisome for subsequent insertion into the peroxisomal membrane
YDL066W,IDP1,Mitochondrial NADP-specific isocitrate dehydrogenase catalyzes the oxidation of isocitrate to alpha-ketoglutarate; not required for mitochondrial respiration and may function to divert alpha-ketoglutarate to biosynthetic processes
YDL067C,COX9,Subunit VIIa of cytochrome c oxidase which is the terminal member of the mitochondrial inner membrane electron transport chain
YDL069C,CBS1,Mitochondrial translational activator of the COB mRNA; membrane protein that interacts with translating ribosomes acts on the COB mRNA 5'-untranslated leader
YDL070W,BDF2,Protein involved in transcription initiation at TATA-containing promoters; associates with the basal transcription factor TFIID; contains two bromodomains; corresponds to the C-terminal region of mammalian TAF1; redundant with Bdf1p
YDL074C,BRE1,E3 ubiquitin ligase forms heterodimer with Rad6p to monoubiquinate histone H2B-K123 which is required for the subsequent methylation of histone H3-K4 and H3-K79; required for DSBR transcription silencing and checkpoint control
YDL075W,RPL31A,Protein component of the large (60S) ribosomal subunit nearly identical to Rpl31Bp and has similarity to rat L31 ribosomal protein; associates with the karyopherin Sxm1p; loss of both Rpl31p and Rpl39p confers lethality
YDL076C,RXT3,Subunit of the RPD3L complex; involved in histone deacetylation
YDL077C,VAM6,Vacuolar protein that plays a critical role in the tethering steps of vacuolar membrane fusion by facilitating guanine nucleotide exchange on small guanosine triphosphatase Ypt7p
YDL078C,MDH3,Peroxisomal malate dehydrogenase catalyzes interconversion of malate and oxaloacetate; involved in the glyoxylate cycle
YDL080C,THI3,Probable alpha-ketoisocaproate decarboxylase may have a role in catabolism of amino acids to long-chain and complex alcohols; required for expression of enzymes involved in thiamine biosynthesis
YDL083C,RPS16B,Protein component of the small (40S) ribosomal subunit; identical to Rps16Ap and has similarity to E. coli S9 and rat S16 ribosomal proteins
YDL084W,SUB2,Component of the TREX complex required for nuclear mRNA export; member of the DEAD-box RNA helicase superfamily and is involved in early and late steps of spliceosome assembly; homolog of the human splicing factor hUAP56
YDL085W,NDE2,Mitochondrial external NADH dehydrogenase catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p are involved in providing the cytosolic NADH to the mitochondrial respiratory chain
YDL087C,LUC7,Essential protein associated with the U1 snRNP complex; splicing factor involved in recognition of 5' splice site; contains two zinc finger motifs; N-terminal zinc finger binds pre-mRNA
YDL088C,ASM4,Nuclear pore complex subunit part of a subcomplex also containing Nup53p Nup170p and Pse1p
YDL089W,NUR1,Protein of unknown function; interacts with Csm1p Lrs4p; required for rDNA repeat stability; null mutant causes increase in unequal sister-chromatid exchange; GFP-fusion protein localizes to the nuclear periphery possible Cdc28p substrate
YDL090C,RAM1,Beta subunit of the CAAX farnesyltransferase (FTase) that prenylates the a-factor mating pheromone and Ras proteins; required for the membrane localization of Ras proteins and a-factor; homolog of the mammalian FTase beta subunit
YDL092W,SRP14,Signal recognition particle (SRP) subunit interacts with the RNA component of SRP to form the Alu domain which is the region of SRP responsible for arrest of nascent chain elongation during membrane targeting; homolog of mammalian SRP14
YDL095W,PMT1,Protein O-mannosyltransferase transfers mannose from dolichyl phosphate-D-mannose to protein Ser/Thr residues; 1 of 7 related proteins involved in O-glycosylation which is essential for cell wall rigidity; involved in ER quality control
YDL097C,RPN6,Essential non-ATPase regulatory subunit of the 26S proteasome lid required for the assembly and activity of the 26S proteasome; the human homolog (S9 protein) partially rescues Rpn6p depletion
YDL098C,SNU23,Component of U4/U6.U5 snRNP involved in mRNA splicing via spliceosome
YDL099W,BUG1,Cis-golgi localized protein involved in ER to Golgi transport; forms a complex with the mammalian GRASP65 homolog Grh1p; mutants are compromised for the fusion of ER-derived vesicles with Golgi membranes
YDL100C,GET3,Guanine nucleotide exchange factor for Gpa1p; amplifies G protein signaling; subunit of the GET complex which is involved in Golgi to ER trafficking and insertion of proteins into the ER membrane; has low-level ATPase activity
YDL101C,DUN1,Cell-cycle checkpoint serine-threonine kinase required for DNA damage-induced transcription of certain target genes phosphorylation of Rad55p and Sml1p and transient G2/M arrest after DNA damage; also regulates postreplicative DNA repair
YDL102W,POL3,Catalytic subunit of DNA polymerase delta; required for chromosomal DNA replication during mitosis and meiosis intragenic recombination repair of double strand DNA breaks and DNA replication during nucleotide excision repair (NER)
YDL103C,QRI1,UDP-N-acetylglucosamine pyrophosphorylase catalyzes the formation of UDP-N-acetylglucosamine (UDP-GlcNAc) which is important in cell wall biosynthesis protein N-glycosylation and GPI anchor biosynthesis
YDL105W,NSE4,Nuclear protein that plays a role in the function of the Smc5p-Rhc18p complex
YDL106C,PHO2,Homeobox transcription factor; regulatory targets include genes involved in phosphate metabolism; binds cooperatively with Pho4p to the PHO5 promoter; phosphorylation of Pho2p facilitates interaction with Pho4p
YDL107W,MSS2,Peripherally bound inner membrane protein of the mitochondrial matrix involved in membrane insertion of C-terminus of Cox2p interacts genetically and physically with Cox18p
YDL108W,KIN28,Serine/threonine protein kinase subunit of the transcription factor TFIIH; involved in transcription initiation at RNA polymerase II promoters
YDL109C,YDL109C,Putative lipase; involved in lipid metabolism; YDL109C is not an essential gene
YDL111C,RRP42,Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp42p (EXOSC7)
YDL112W,TRM3,2'-O-ribose methyltransferase catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs
YDL113C,ATG20,Sorting nexin family member required for the cytoplasm-to-vacuole targeting (Cvt) pathway and for endosomal sorting; has a Phox homology domain that binds phosphatidylinositol-3-phosphate; interacts with Snx4p; potential Cdc28p substrate
YDL115C,IWR1,RNA polymerase II transport factor conserved from yeast to humans; involved in both basal and regulated transcription from RNA polymerase II (RNAP II) promoters but not itself a transcription factor; interacts with most of the RNAP II subunits; nucleo-cytoplasmic shuttling protein; deletion causes hypersensitivity to K1 killer toxin
YDL116W,NUP84,Subunit of the nuclear pore complex (NPC); forms a subcomplex with Nup85p Nup120p Nup145p-C Sec13p and Seh1p that plays a role in nuclear mRNA export and NPC biogenesis; required also for transcription elongation as demonstrated by the G-less-based run-on (GLRO) assay
YDL117W,CYK3,SH3-domain protein located in the mother-bud neck and the cytokinetic actin ring; mutant phenotype and genetic interactions suggest a role in cytokinesis
YDL120W,YFH1,Mitochondrial matrix iron chaperone; oxidizes and stores iron; interacts with Isu1p to promote Fe-S cluster assembly; mutation results in multiple Fe/S-dependent enzyme deficiencies; human frataxin homolog is mutated in Friedrich's ataxia
YDL122W,UBP1,Ubiquitin-specific protease that removes ubiquitin from ubiquitinated proteins; cleaves at the C terminus of ubiquitin fusions irrespective of their size; capable of cleaving polyubiquitin chains
YDL124W,YDL124W,NADPH-dependent alpha-keto amide reductase; reduces aromatic alpha-keto amides aliphatic alpha-keto esters and aromatic alpha-keto esters; member of the aldo-keto reductase (AKR) family
YDL125C,HNT1,Adenosine 5'-monophosphoramidase; interacts physically and genetically with Kin28p a CDK and TFIIK subunit and genetically with CAK1; member of the histidine triad (HIT) superfamily of nucleotide-binding proteins and similar to Hint
YDL126C,CDC48,ATPase involved in ubiquitin-mediated protein degradation; Cdc48p-Npl4p-Ufd1p complex participates in ER-associated degradation (ERAD) while Cdc48p-Npl4p-Vms1p complex participates in mitochondria-associated degradation (MAD); along with Npl4-Ufd1 complex important for maintaining the cell wall integrity during heat stress to allow G1 progression
YDL127W,PCL2,Cyclin interacts with cyclin-dependent kinase Pho85p; member of the Pcl12-like subfamily involved in the regulation of polarized growth and morphogenesis and progression through the cell cycle; localizes to sites of polarized cell growth
YDL128W,VCX1,Vacuolar membrane antiporter with Ca2+/H+ and K+/H+ exchange activity involved in control of cytosolic Ca2+ and K+ concentrations; has similarity to sodium/calcium exchangers including the bovine Na+/Ca2+K+ antiporter
YDL130W-A,STF1,Protein involved in regulation of the mitochondrial F1F0-ATP synthase; Stf1p and Stf2p may act as stabilizing factors that enhance inhibitory action of the Inh1p protein
YDL131W,LYS21,Homocitrate synthase isozyme catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate which is the first step in the lysine biosynthesis pathway; highly similar to the other isozyme Lys20p
YDL132W,CDC53,Cullin structural protein of SCF complexes (which also contain Skp1p Cdc34p Hrt1p and an F-box protein) involved in ubiquitination; SCF promotes the G1-S transition by targeting G1 cyclins and the Cln-CDK inhibitor Sic1p for degradation
YDL133C-A,RPL41B,Ribosomal protein L47 of the large (60S) ribosomal subunit identical to Rpl41Ap and has similarity to rat L41 ribosomal protein; comprised of only 25 amino acids; rpl41a rpl41b double null mutant is viable
YDL133W,SRF1,Regulator of phospholipase D (Spo14p); interacts with Spo14p and regulates its catalytic activity; capable of buffering the toxicity of C16:0 platelet activating factor a lipid that accumulates intraneuronally in Alzheimer's patients
YDL134C,PPH21,Catalytic subunit of protein phosphatase 2A (PP2A) functionally redundant with Pph22p; methylated at C terminus; forms alternate complexes with several regulatory subunits; involved in signal transduction and regulation of mitosis
YDL135C,RDI1,Rho GDP dissociation inhibitor involved in the localization and regulation of Cdc42p and Rho1p
YDL136W,RPL35B,Protein component of the large (60S) ribosomal subunit identical to Rpl35Ap and has similarity to rat L35 ribosomal protein
YDL137W,ARF2,ADP-ribosylation factor GTPase of the Ras superfamily involved in regulation of coated formation vesicles in intracellular trafficking within the Golgi; functionally interchangeable with Arf1p
YDL138W,RGT2,Plasma membrane high glucose sensor that regulates glucose transport; contains 12 predicted transmembrane segments and a long C-terminal tail required for induction of hexose transporters; highly similar to Snf3p
YDL139C,SCM3,Nonhistone component of centromeric chromatin that binds stoichiometrically to CenH3-H4 histones required for kinetochore assembly; required for G2/M progression and localization of Cse4p; may protect Cse4p from ubiquitylation
YDL140C,RPO21,RNA polymerase II largest subunit B220 part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime
YDL141W,BPL1,Biotin:apoprotein ligase covalently modifies proteins with the addition of biotin required for acetyl-CoA carboxylase (Acc1p) holoenzyme formation
YDL142C,CRD1,Cardiolipin synthase; produces cardiolipin which is a phospholipid of the mitochondrial inner membrane that is required for normal mitochondrial membrane potential and function; also required for normal vacuolar ion homeostasis
YDL143W,CCT4,Subunit of the cytosolic chaperonin Cct ring complex related to Tcp1p required for the assembly of actin and tubulins in vivo
YDL145C,COP1,Alpha subunit of COPI vesicle coatomer complex which surrounds transport vesicles in the early secretory pathway
YDL146W,LDB17,Protein involved in the regulation of endocytosis; transiently recruited to actin cortical patches in a SLA1-dependent manner after late coat component assembly; GFP-fusion protein localizes to the periphery cytoplasm bud and bud neck
YDL147W,RPN5,Subunit of the COP9 signalosome (CSN) and non-ATPase regulatory subunit of the 26S proteasome lid similar to mammalian p55 subunit and to another S. cerevisiae regulatory subunit Rpn7p; Rpn5p is an essential protein
YDL148C,NOP14,Nucleolar protein forms a complex with Noc4p that mediates maturation and nuclear export of 40S ribosomal subunits; also present in the small subunit processome complex which is required for processing of pre-18S rRNA
YDL149W,ATG9,Transmembrane protein involved in forming Cvt and autophagic vesicles; cycles between the phagophore assembly site (PAS) and other cytosolic punctate structures not found in autophagosomes; may be involved in membrane delivery to the PAS
YDL150W,RPC53,RNA polymerase III subunit C53
YDL153C,SAS10,Essential subunit of U3-containing Small Subunit (SSU) processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit; disrupts silencing when overproduced; mutant has increased aneuploidy tolerance
YDL154W,MSH5,Protein of the MutS family forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis; msh5-Y823H mutation confers tolerance to DNA alkylating agents; homologs present in C. elegans and humans
YDL155W,CLB3,B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the G2/M transition; may be involved in DNA replication and spindle assembly; accumulates during S phase and G2 then targeted for ubiquitin-mediated degradation
YDL159W,STE7,Signal transducing MAP kinase kinase involved in pheromone response where it phosphorylates Fus3p and in the pseudohyphal/invasive growth pathway through phosphorylation of Kss1p; phosphorylated by Ste11p degraded by ubiquitin pathway
YDL160C,DHH1,Cytoplasmic DExD/H-box helicase stimulates mRNA decapping coordinates distinct steps in mRNA function and decay interacts with both the decapping and deadenylase complexes may have a role in mRNA export and translation
YDL160C-A,MHF2,Putative protein of unknown function; mutant in a srs2 mutant background displays MMS hypersensitivity; ortholog of human MHF2 a component of the Fanconi anemia (FA) complex that is involved in maintaining genome stability
YDL161W,ENT1,Epsin-like protein involved in endocytosis and actin patch assembly and functionally redundant with Ent2p; binds clathrin via a clathrin-binding domain motif at C-terminus
YDL164C,CDC9,DNA ligase found in the nucleus and mitochondria an essential enzyme that joins Okazaki fragments during DNA replication; also acts in nucleotide excision repair base excision repair and recombination
YDL165W,CDC36,Component of the CCR4-NOT complex which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor
YDL166C,FAP7,Essential NTPase required for small ribosome subunit synthesis mediates processing of the 20S pre-rRNA at site D in the cytoplasm but associates only transiently with 43S preribosomes via Rps14p may be the endonuclease for site D
YDL168W,SFA1,Bifunctional enzyme containing both alcohol dehydrogenase and glutathione-dependent formaldehyde dehydrogenase activities functions in formaldehyde detoxification and formation of long chain and complex alcohols regulated by Hog1p-Sko1p
YDL170W,UGA3,Transcriptional activator necessary for gamma-aminobutyrate (GABA)-dependent induction of GABA genes (such as UGA1 UGA2 UGA4); zinc-finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type; localized to the nucleus
YDL171C,GLT1,NAD(+)-dependent glutamate synthase (GOGAT) synthesizes glutamate from glutamine and alpha-ketoglutarate; with Gln1p forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source
YDL174C,DLD1,D-lactate dehydrogenase oxidizes D-lactate to pyruvate transcription is heme-dependent repressed by glucose and derepressed in ethanol or lactate; located in the mitochondrial inner membrane
YDL175C,AIR2,Zinc knuckle protein involved in nuclear RNA processing and degredation as a component of the TRAMP complex; stimulates the poly(A) polymerase activity of Pap2p in vitro; functionally redundant with Air1p
YDL178W,DLD2,D-lactate dehydrogenase located in the mitochondrial matrix
