Process,Function,Peak,ORF,YPD ,SGD ,Deletion,Known?,Description,Aggregate Score
unknown,unknown,S,YIL144W,TID3,TID3,lethal,New,"Protein with similarity to myosin heavy chain, possible coiled-coil ",1.65
unknown,unknown,M/G1,YDL169C,UGX2,UGX2,undocumented,New,Protein of unknown function ,1.652
unknown,unknown,S/G2,YPL025C,YPL025C,YPL025C,undocumented,New,Protein of unknown function ,1.653
sterol metabolism,C-5 sterol desaturase,S/G2,YLR056W,ERG3,ERG3,viable,New,"C-5 sterol desaturase, an iron non-heme oxygen-requiring enzyme of the ergosterol biosynthesis pathway ",1.657
unknown,unknown,M/G1,YDL089W,YDL089W,YDL089W,undocumented,New,novel,1.66
mRNA 3'-end processing,cleavage/polyadenylation factor CF IA component,S,YOR250C,CLP1,CLP1,undocumented,New,"Subunit of cleavage and polyadenylation factor IA,required for 3'-end processing of pre-mRNA ",1.664
unknown,major facilitator superfamily,S/G2,YPL264C,YPL264C,YPL264C,undocumented,New,"Protein of unknown function, member of the major facilitator superfamily (MFS) ",1.669
cytoskeleton,spindle pole body component,G1,YNL225C,CNM67,CNM67,viable,New,Protein involved in nuclear migration ,1.67
ubiquinone biosynthesis,methyltransferase,M/G1,YML110C,DBI56,DBI56,viable,New,Potential mitochondrial C-methyltransferase of the ubiquinone biosynthetic pathway ,1.671
unknown,similar to phospholipases,M/G1,YOL011W,YOL011W,YOL011W,undocumented,New,Protein with similarity to phospholipases ,1.673
unknown,similar to Ypt1p and many other ras-like,G1,YNL304W,YPT11,YNL304W,undocumented,New,Protein with similarity to Ypt1p and many other ras-like GTP-binding proteins ,1.681
unknown,similar to Kel1p and Kel3p,G1,YGR238C,KEL2,KEL2,undocumented,New,Protein with similarity to Kel1p and Kel3p ,1.683
cell size,unknown,S/G2,YNL197C,WHI3,WHI3,viable,New,"Protein involved in regulation of cell size, has 1 RNA recognition (RRM) domain ",1.691
unknown,unknown,G1,YOL034W,YOL034W,YOL034W,viable,New,similarity to S.pombe rad18 and rpgL29 genes and other members of the SMC superfamily,1.691
unknown,similar to Ybr177p,G2/M,YPL095C,YPL095C,YPL095C,undocumented,New,Protein with similarity to Ybr177p ,1.692
unknown,"similar to pyruvate decarboxylase, pyruvate",G2/M,YDR380W,YDR380W,YDR380W,undocumented,New,"Protein with similarity to pyruvate decarboxylase, pyruvate oxidase, acetolactate synthase (large subunit), and other enzymes that require thiamine pyrophosphate ",1.697
nuclear protein targeting,nuclear pore protein,G2/M,YFR002W,NIC96,NIC96,lethal,New,"Nuclear pore protein (nucleoporin) that acts in a complex with Nsp1p, Nup57p, and Nup49p ",1.697
protein synthesis,"ribosomal protein, mitochondrial S28",G2/M,YDR337W,MRPS28,MRPS28,viable,New,Mitochondrial ribosomal protein of the small subunit (E. coli S15) ,1.699
flavin biosynthesis,"riboflavin synthase, alpha chain",S/G2,YBR256C,RIB5,RIB5,viable,New,"Riboflavin synthase, last step of riboflavin synthesis, converts 6,7-dimethyl-8-ribityllumazine to riboflavin ",1.7
pyrimidine biosynthesis,thioredoxin reductase,G1,YHR106W,TRR2,TRR2,viable,New,Thioredoxin reductase ,1.701
unknown,unknown,S/G2,YLR225C,YLR225C,YLR225C,undocumented,New,Protein of unknown function ,1.701
unknown,isoamyl acetate hydrolytic enzyme,M/G1,YOR126C,IAH2,IAH1,viable,New,Isoamyl acetate-hydrolyzing esterase enzyme ,1.702
protein glycosylation,dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase,G1,YOR321W,PMT3,PMT3,viable,New,"Mannosyltransferase (dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase), involved inititation of O-glycosylation",1.702
unknown,unknown,S/G2,YJL158C,CIS3,CIS3,undocumented,New,cik1 suppressor; Protein with similarity to members of the Pir1p/Hsp150p/Pir3p family,1.709
methionine biosynthesis,siroheme synthase,S,YKR069W,MET1,MET1,viable,New,Siroheme synthase involved in methionine metabolism ,1.709
mating; cell fusion,SH3 domain protein,M/G1,YCL027W,FUS1,FUS1,viable,Known,"Protein with SH3 domain required for cell fusion during mating, located at the tip of the mating projection (shmoo)",1.71
ser/thr metabolism,CHA1 activator,G2/M,YLR098C,CHA4,CHA4,undocumented,New,"Zinc-finger protein necessary for activation of CHA1, has a Zn[2]-Cys[6] fungal-type binuclear cluster ",1.711
unknown,similar to mammalian monocarboxylate,G2/M,YOL119C,YOL119C,YOL119C,undocumented,New,Protein with weak similarity to mammalian monocarboxylate transporter proteins ,1.711
unknown,unknown,M/G1,YOR052C,YOR052C,YOR052C,undocumented,New,Protein of unknown function ,1.711
transcription,anti-silencing protein,G1,YDL197C,ASF2,ASF2,viable,Known,Anti-silencing protein that causes depression of silent loci when overexpressed,1.714
unknown,similar to other subtelomerically-encoded proteins,M/G1,YFL065C,YFL065C,YFL065C,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins; overlaps with YFL064C,1.715
unknown,similar to human triacylglycerol lipase,G1,YLL012W,YLL012W,YLL012W,undocumented,New,Protein with similarity to YLR020C,1.716
unknown,unknown,G1,YDL156W,YDL156W,YDL156W,undocumented,New,weak similarity to Pas7p,1.72
mitosis,anaphase-promoting complex subunit,G2/M,YNL172W,APC1,APC1,lethal,New,"Component of the anaphase-promoting complex (APC), required for Clb2p degradation and for the metaphase-anaphase transition ",1.721
unknown,similar to serine-type carboxypeptidases,G2/M,YBR139W,YBR139W,YBR139W,undocumented,New,Protein with similarity to serine-type carboxypeptidases ,1.722
unknown,unknown,G2/M,YPR014C,YPR014C,YPR014C,undocumented,New,Protein of unknown function ,1.722
sucrose utilization,invertase,G2/M,YIL162W,SUC2,SUC2,viable,New,Beta-fructofuranosidase 2 (invertase),1.731
unknown,unknown,S,YPL054W,LEE1,LEE1,undocumented,New,Protein of unknown function ,1.734
meiosis,DNA helicase,S,YJL092W,HPR5,HPR5,viable,Known,"DNA helicase involved in DNA repair, suppressor of rad6 and rad18 mutations",1.737
secretion,vesicle coat component,G1,YGL200C,EMP24,EMP24,viable,New,Component of the COPII coat of certain secretory pathway vesicles derived from the endoplasmic reticulum ,1.74
unknown,unknown,G2/M,YLR100W,YLR100W,YLR100W,undocumented,New,Protein of unknown function ,1.74
unknown,unknown,M/G1,YJL067W,YJL067W,YJL067W,undocumented,New,Protein of unknown function ,1.745
unknown,unknown,G2/M,YOR258W,YOR258W,YOR258W,undocumented,New,Protein of unknown function ,1.754
unknown,unknown,G1,YNL181W,YNL181W,YNL181W,undocumented,New,Protein of unknown function ,1.755
unknown,unknown,S,YMR144W,YMR144W,YMR144W,undocumented,New,weak similarity to Mlp1p,1.756
unknown,similar to vacuolar aminopeptidase Lap4p/Ape1p,G1,YHR113W,YHR113W,YHR113W,undocumented,New,Protein with similarity to vacuolar aminopeptidase Lap4p/Ape1p ,1.76
unknown,unknown,M/G1,YDR493W,YDR493W,YDR493W,undocumented,New,Protein of unknown function ,1.764
DNA replication (putative),ribonuclease H,M/G1,YGR276C,RNH70,RNH70,undocumented,New,RNase H ,1.768
unknown,unknown,G1,YHR173C,YHR173C,YHR173C,undocumented,New,novel,1.771
mating,a-factor exporter (ABC superfamily),G2/M,YKL209C,STE6,STE6,viable,New,"transporter, responsible for a-factor export",1.771
"mitosis, sister chromatid cohesion (putative)",unknown,G1,YFR027W,YFR027W,ECO1,undocumented,New,novel,1.776
unknown,unknown,G1,YNL166C,YNL166C,YNL166C,undocumented,New,novel,1.78
unknown,similar to pheromone adaptation protein Mdg1p,S/G2,YHR146W,YHR146W,YHR146W,undocumented,New,Protein with similarity to pheromone adaptation protein Mdg1p ,1.783
secretion,post-Golgi t-SNARE,S/G2,YMR183C,SSO2,SSO2,viable,New,Syntaxin homolog (t-SNARE) involved in vesicle transport from Golgi to plasma membrane ,1.783
transport,inorganic phosphate permease,G2/M,YML123C,PHO84,PHO84,viable,New,"High-affinity inorganic phosphate/H+ symporter, member of sugar permease family ",1.787
sulfate assimilation,3'-phosphoadenylylsulfate reductase,S/G2,YPR167C,MET16,MET16,undocumented,New,"3'-Phosphoadenylylsulfate reductase, part of the sulfate assimilation pathway ",1.788
glycolysis,glucokinase,M/G1,YCL040W,GLK1,GLK1,viable,New,"Glucokinase, specific for aldohexoses ",1.789
unknown,similar to phosphate-repressible phosphate permease,M/G1,YBR296C,YBR296C,YBR296C,undocumented,New,Protein with similarity to phosphate-repressible phosphate permease ,1.8
unknown,unknown,G2/M,YKR046C,YKR046C,YKR046C,undocumented,New,Protein of unknown function ,1.803
unknown,similar to other subtelomerically-encoded proteins,M/G1,YFL066C,YFL066C,YFL066C,undocumented,New,Protein with similarity to other subtelomerically-encoded proteins,1.809
unknown,similar to human collagen alpha 3 (VI) chain,G2/M,YJR003C,YJR003C,YJR003C,undocumented,New,Protein with weak similarity to human collagen alpha 3 (VI) chain precursor ,1.809
transport,amino acid permease,G2/M,YBR069C,VAP1,VAP1,viable,New,"Amino acid permease for valine, leucine, isoleucine, tyrosine, and tryptophan ",1.812
secretion,post-Golgi t-SNARE,G1,YPL232W,SSO1,SSO1,viable,New,Syntaxin homolog (t-SNARE) involved in vesicle transport from Golgi to plasma membrane ,1.826
unknown,similar to Mec1p and porcine tubulin-tyrosine,G2/M,YBR094W,YBR094W,YBR094W,undocumented,New,Protein with weak similarity to Mec1p and porcine tubulin-tyrosine ligase ,1.828
unknown,unknown,S/G2,YLR099C,YLR099C,YLR099C,undocumented,New,Protein of unknown function ,1.828
unknown,unknown,G1,YOR144C,YOR144C,YOR144C,undocumented,New,weak similarity to human DNA-binding protein PO-GA and to bacterial H+-transporting ATP synthases,1.83
unknown,unknown,G1,YCL042W,YCL042W,YCL042W,undocumented,New,novel; questionable ORF,1.831
unknown,unknown,G1,YLR236C,YLR236C,YLR236C,undocumented,New,hypothetical protein,1.832
meiosis,transcription factor,M/G1,YOR230W,WTM1,WTM1,viable,New,Transcriptional modulator involved in meiotic regulation and silencing (GB:AF001451),1.835
fatty acid metabolism,fatty acid elongation protein,M/G1,YJL196C,ELO1,ELO1,viable,New,Fatty acid elongation protein involved in elongation of tetradecanoic acid  to hexadecanoic acid  ,1.838
cytoskeleton,tropomyosin,S/G2,YIL138C,TPM2,TPM2,viable,New,"Tropomyosin isoform 2, coiled-coil protein ",1.84
glycogen metabolism,glycogen synthesis initiator,S/G2,YJL137C,GLG2,GLG2,viable,New,Self-glucosylating initiator of glycogen synthesis ,1.841
unknown,unknown,G1,YJR054W,YJR054W,YJR054W,undocumented,New,has similarity to Yml047p ,1.846
unknown,unknown,G1,YMR048W,YMR048W,YMR048W,undocumented,New,Protein of unknown function ,1.846
unknown,unknown,M/G1,YLR040C,YLR040C,YLR040C,undocumented,New,Protein of unknown function ,1.847
unknown,unknown; interacts with Duo1p and Mps1p,S,YGR113W,DIF1,DAM1,lethal,New,Duo1p-interacting factor ,1.849
unknown,similar to mouse Surf-4 protein PIR:A34727,G2/M,YGR284C,YGR284C,YGR284C,undocumented,New,Protein with similarity to mouse Surf-4 protein PIR:A34727 ,1.85
unknown,unknown,S/G2,YNL043C,YNL043C,YNL043C,undocumented,New,novel; questionable ORF,1.85
unknown,"similar to Sur1p, Hoc1p, and Och1p",G1,YBR161W,YBR161W,YBR161W,viable,New,"Protein with similarity to Sur1p, Hoc1p, and Och1p ",1.851
unknown,unknown,G1,YJL072C,YJL072C,YJL072C,undocumented,New,novel,1.851
unknown,unknown; induced in stationary phase,G1,YFL060C,SNO3,SNO3,undocumented,New,Member of stationary phase-induced gene family (SNO3 and SNO2 code for nearly identical proteins),1.856
unknown,unknown,G2/M,YKR021W,YKR021W,YKR021W,undocumented,New,strong similarity to hypothetical protein YJL084c,1.856
unknown,similar to ADP/ATP carrier proteins,G2/M,YPR128C,YPR128C,YPR128C,undocumented,New,Protein with similarity to ADP/ATP carrier proteins and members of the mitochondrial carrier family (MCF),1.859
transport,hexose permease,M/G1,YHR094C,HXT1,HXT1,viable,New,"Low-affinity hexose transporter and member of sugar permease family, induced by glucose only at high concentration ",1.863
DNA replication,polymerase delta 55 kD subunit,G1,YJR043C,POL32,POL32,viable,New,Small subunit of DNA polymerase delta ,1.864
"mitosis, chromosome segregation",protein kinase,G1,YPL209C,IPL1,IPL1,lethal,New,Serine/threonine protein kinase involved in chromosome segregation,1.864
unknown,similar to Sed1p,M/G1,YER150W,YER150W,SPI1,viable,New,Protein with similarity to Sed1p ,1.873
unknown,unknown,G1,YGL061C,DUO1,DUO1,lethal,New,Protein that interacts with Dif1p and causes cell death upon overproduction ,1.879
chromatin structure,histone-related,S,YOL012C,HTA3,HTA3,viable,New,Histone-related protein that can suppress histone H4 point mutation,1.891
unknown,unknown,M/G1,YGL037C,YGL037C,YGL037C,undocumented,New,Protein of unknown function ,1.893
unknown,similar to human purine nucleoside phosphorylase,S/G2,YLR209C,YLR209C,YLR209C,undocumented,New,Protein with similarity to human purine nucleoside phosphorylase,1.893
unknown,similar to Tsa1p,M/G1,YBL064C,YBL064C,YBL064C,viable,New,Protein with similarity to Tsa1p ,1.895
unknown,interacts with Yip1p; similar to NADH dehydrogenases,G1,YNL263C,SIF1,YIF1,lethal,New,Protein with similarity to NADH dehydrogenases,1.897
sphingolipid metabolism,phosphatidylinositol:ceramide phosphoinositol transferase,S/G2,YKL004W,AUR1,AUR1,lethal,New,"Phosphatidylinositol:ceramide phosphoinositol transferase (IPC synthase), essential for sphingolipid synthesis",1.905
unknown,unknown,G2/M,YLR254C,YLR254C,YLR254C,undocumented,New,novel,1.905
unknown,unknown,G1,YIL104C,YIL104C,YIL104C,undocumented,New,Protein of unknown function ,1.914
Golgi organization,Golgi membrane guanosine diphosphatase,S,YEL042W,GDA1,GDA1,viable,New,converts GDP released from GDP-mannose to GMP which is returned to cytoplasm by an antiporter,1.92
transport,hexose permease,M/G1,YFL011W,HXT10,HXT10,undocumented,New,"Hexose transporter, member of sugar permease family ",1.925
cell wall biogenesis,"exo-beta-1,3-glucanase",S,YDR261C,EXG2,EXG2,undocumented,New,"Exo-beta-1,3-glucanase (beta-1,3-D-glucanglucanohydrolase), minor isoform",1.932
DNA replication (putative),interacts with DNA ligase,M/G1,YGL090W,LIF1,LIF1,viable,New,Protein that interacts with DNA ligase protein Dnl4,1.933
unknown,unknown,G2/M,YIL122W,YIL122W,YIL122W,undocumented,New,Protein of unknown function ,1.934
silencing,unknown,S/G2,YBL052C,SAS3,SAS3,viable,New,Protein that influences silencing at HMR ,1.936
unknown,unknown,G2/M,YBR242W,YBR242W,YBR242W,undocumented,New,strong similarity to hypothetical protein YGL101w,1.936
unknown,unknown,M/G1,YOL101C,YOL101C,YOL101C,undocumented,New,Protein of unknown function ,1.937
glycolysis,transcriptional activator,S/G2,YPL075W,GCR1,GCR1,viable,New,"Protein required for expression of glycolytic genes, causes same spectrum of enzymatic changes as does Gcr2p ",1.946
transport,iron permease,G2/M,YER145C,YER145C,FTR1,viable,New,Iron permease that mediates high-affinity iron uptake ,1.952
unknown,similar to GPI-anchor biosynthesis protein PIG-F,S/G2,YDR302W,YDR302W,YDR302W,undocumented,New,Protein with similarity to GPI-anchor biosynthesis protein PIG-F ,1.953
unknown,unknown,S/G2,YLR437C,YLR437C,YLR437C,undocumented,New,novel,1.958
unknown,unknown,G1,YDR488C,PAC11,PAC11,viable,New,"Protein with similarity to rat dynein intermediate chain, required in the absence of Cin8p ",1.963
mitosis,centromere protein,G1,YKL089W,MIF2,MIF2,lethal,New,Catalytic (alpha) subunit of the mitochondrial processing peptidase ,1.963
unknown,unknown,G1,YLR380W,YLR380W,YLR380W,undocumented,New,Protein of unknown function ,1.965
oxidative stress response (putative),flavohemoglobin,M/G1,YGR234W,YHB1,YHB1,viable,New,"Flavohemoglobin of unknown function, distantly related to animal hemoglobins ",1.972
sporulation,putative cell wall component,G2/M,YOR313C,SPS4,SPS4,viable,New,"Protein expressed in mid-late (8-14 hr) sporulation, possible cell wall component ",1.976
unknown,topoisomerase I interacting factor,G1,YNL273W,TOF1,TOF1,viable,New,Topoisomerase I interacting factor ,1.978
unknown,unknown,G1,YIL025C,YIL025C,YIL025C,undocumented,New,Protein of unknown function ,1.98
unknown,similar to subtelomerically-encoded proteins,G2/M,YHL040C,YHL040C,YHL040C,undocumented,New,Member of major facilitator superfamily (MFS) multidrug-resistance (MFS-MDR) protein family ,1.984
unknown,similar to Gas1p,G1,YLR343W,YLR343W,YLR343W,viable,New,Protein with strong similarity to Gas1p,1.987
unknown,unknown,G1,YNL165W,YNL165W,YNL165W,undocumented,New,weak similarity to YMR316W and YOR385W,1.989
unknown,unknown,G1,YDL157C,YDL157C,YDL157C,undocumented,New,novel,1.995
"mitosis, chromosome condensation and segregation",unknown,G1,YFL008W,SMC1,SMC1,lethal,New,Coiled-coil protein of the SMC family involved in chromosome condensation and segregation ,1.995
unknown,unknown,G2/M,YML066C,YML066C,YML066C,undocumented,New,Protein of unknown function ,1.998
"mitosis, sister chromatid cohesion",unknown,G1,YMR076C,,PDS5,undocumented,New,similar to A. nidulans bimD protein,2
cytoskeleton,microtubule binding protein,G1,YER016W,BIM1,BIM1,viable,New,Protein with affect on microtubule structure ,2.001
mating; nuclear fusion,DnaJ-like protein,G1,YJL073W,JEM1,JEM1,viable,New,"DnaJ-like protein, required for nuclear fusion",2.005
DNA replication,DNA polymerase delta catalytic 125 KD subunit,G1,YDL102W,CDC2,CDC2,lethal,Known,"aka POL3; DNA polymerase delta large subunit, has intrinsic 3'-5' exonuclease",2.01
pyrimidine metabolism,"UGP1, UDP-glucose pyrophosphorylase",S/G2,YKL035W,UGP1,UGP1,lethal,New,UDP-glucose pyrophosphorylase (UTP-glucose-1-P uridylyltransferase) (UGPase),2.01
pseudohyphal growth,transcription factor,G2/M,YKL043W,PHD1,PHD1,viable,New,Transcription factor involved in regulation of filamentous growth ,2.011
unknown,unknown,S/G2,YMR163C,YMR163C,YMR163C,undocumented,New,novel,2.02
transport,hypoxic gene family (sterol uptake),G2/M,YGL162W,SUT1,SUT1,viable,New,Protein involved in sterol uptake ,2.03
unknown,cell wall protein,S/G2,YKL096W-A,CWP2,CWP2,viable,Known,"Mannoprotein of the cell wall, member of the PAU1 family",2.031
unknown,unknown,G1,YER152C,YER152C,YER152C,viable,New,Protein of unknown function ,2.042
unknown,similar to bacterial NADP/NAD-dependent,G2/M,YBL098W,YBL098W,YBL098W,undocumented,New,"Protein with similarity to bacterial NADP/NAD-dependent oxidoreductases involved in metabolism of aromatic compounds; member of unknown family 1 of proteins of unknown function, a subfamily of the major facilitator superfamily (MFS), which includes Ybl098p, Yel064p, Yer119p, Yil088p, Yjr001p, Ykl146p, and Ynl101p.",2.044
"meiosis, checkpoint; transcriptional silencing ",unknown,G1,YDR440W,PCH1,DOT1,viable,New,Protein required for cell cycle arrest at the pachytene stage of meiosis in a zip1 mutant ,2.045
sterol metabolism,C-22 sterol desaturase,G2/M,YMR015C,ERG5,ERG5,viable,New,Cytochrome P450 (C-22 sterol desaturase),2.046
unknown,unknown,G1,YKR090W,YKR090W,YKR090W,undocumented,New,similarity to chicken Lim protein kinase and Islet proteins,2.05
gluconeogenesis,serine dehydratase,G2/M,YIL168W,SDL1,SDL1,viable,New,"Serine dehydratase, converts serine to pyruvate and ammonia for gluconeogenesis ",2.051
unknown,unknown,S,YJL119C,YJL119C,YJL119C,undocumented,New,Protein of unknown function ,2.055
unknown,unknown,G1,YHR159W,YHR159W,YHR159W,undocumented,New,Protein of unknown function ,2.059
unknown,unknown,G1,YBL009W,YBL009W,YBL009W,undocumented,New,similar to ALK1,2.06
protein glycosylation,dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase,G1,YDL093W,PMT5,PMT5,undocumented,New,"Protein with similarity to O-mannosyltransferases Pmt1p, Pmt2p, Pmt3p, Pmt4p, and Pmt6p ",2.06
unknown,major facilitator superfamily,G2/M,YMR253C,YMR253C,YMR253C,undocumented,New,"Protein of unknown function, member of the major facilitator superfamily (MFS) ",2.062
transport,glucose permease,G2/M,YDL138W,RGT2,RGT2,undocumented,New,"Glucose transporter responsible for induction of gene expression in the presence of high glucose, member of the sugar permease family ",2.069
unknown,unknown,M/G1,YEL040W,UTR2,UTR2,viable,New,protein with similarity to YLR213C and YGR189C both of which have unknown functions,2.073
meiosis,unknown,G2/M,YHR152W,SPO12,SPO12,viable,Known,"involved in meiosis, and exit from mitosis",2.075
cell cycle,Zds1 homolog,G1,YML109W,ZDS2,ZDS2,viable,New,Multicopy suppressor of sin4 ,2.075
sphingolipid metabolism,sphingoid base-phosphate phosphatase,S/G2,YJL134W,LCB3,LCB3,viable,New,"Sphingoid base-phosphate phosphatase, a key regulator of sphingolipid metabolism and stress response ",2.08
proline biosynthesis,gamma-glutamyl phosphate reductase,S/G2,YOR323C,PRO2,PRO2,lethal,New,"Gamma-glutamyl phosphate reductase (phosphoglutamate dehydrogenase), proline biosynthetic enzyme ",2.082
transport,amino acid permease,S/G2,YCL025C,AGP1,AGP1,viable,New,Broad substrate range amino acid permease with high affinity for asparagine and glutamine ,2.095
unknown,putative protein kinase,S,YDR247W,YDR247W,YDR247W,undocumented,New,Serine/threonine protein kinase with similarity to S. pombe RAN1 negative regulator of sexual conjugation and meiosis (GB:Z49701),2.096
protein degradation,vacuolar aminopeptidase ysc1,G1,YKL103C,LAP4,LAP4,viable,New,Aminopeptidase I (yscI) (API) of the vacuole ,2.1
unknown,unknown,S/G2,YKR041W,YKR041W,YKR041W,undocumented,New,Protein of unknown function ,2.106
unknown,unknown,G2/M,YLR084C,YLR084C,YLR084C,undocumented,New,novel,2.11
unknown,similar to Gap1p and other amino acid permeases,S,YPL274W,YPL274W,YPL274W,undocumented,New,Protein with similarity to Gap1p and other amino acid permeases ,2.111
unknown,unknown,G1,YPR076W,YPR076W,YPR076W,undocumented,New,Protein of unknown function ,2.115
unknown,unknown,G1,YAR003W,YAR003W,YAR003W,undocumented,New,contains WD40 repeat; similarity to human RB protein binding protein,2.121
unknown,unknown; styryl dye vacuolar localization,G1,YPL032C,SVL3,SVL3,undocumented,New,Protein involved in vacuolar uptake of endocytosed vital dyes,2.123
unknown,unknown,G1,YIL132C,YIL132C,YIL132C,undocumented,New,novel,2.132
cell wall biogenesis,glucan synthase subunit,S,YPR159W,KRE6,KRE6,viable,Known,"Glucan synthase subunit required for synthesis of beta-1,6-glucan ",2.139
unknown,similar to C. carbonum toxD gene,M/G1,YNL134C,YNL134C,YNL134C,undocumented,New,Protein with similarity to C. carbonum toxD gene ,2.14
pyrimidine biosynthesis,thioredoxin reductase,G1,YDR353W,TRR1,TRR1,viable,New,Thioredoxin reductase ,2.147
unknown,unknown,G1,YDL096C,YDL096C,YDL096C,undocumented,New,novel; questionable ORF,2.148
aromatic amino acod metabolism,aromatic amino acid aminotransferase II,G2/M,YHR137W,ARO9,ARO9,viable,New,Aromatic amino acid aminotransferase II ,2.152
nuclear protein targeting,spindle pole body associated protein,G1,YPL124W,NIP29,NIP29,undocumented,New,Nuclear import protein ,2.158
unknown,unknown,G2/M,YLR057W,YLR057W,YLR057W,undocumented,New,weak similarity to mouse alpha-mannosidase,2.159
unknown,unknown,S/G2,YKL052C,YKL052C,YKL052C,undocumented,New,Protein of unknown function ,2.161
unknown,unknown,G2/M,YLR034C,YLR034C,YLR034C,undocumented,New,Protein with similarity to Smf2p ,2.163
secretion,vesicle coat component,S,YML012W,ERV25,ERV25,viable,New,Component of the COPII coat of certain ER-derived vesicles ,2.164
sulfur amino acid metbolism,transcriptional activator ,S,YIR017C,MET28,MET28,viable,New,"Transcriptional activator of the basic leucine zipper (bZIP) family, works with Met4p and Cbf1p to regulation sulfur amino acid metabolism ",2.166
unknown,unknown,G2/M,YFR039C,YFR039C,YFR039C,undocumented,New,Protein of unknown function ,2.167
unknown,unknown,M/G1,YNL046W,YNL046W,YNL046W,undocumented,New,novel,2.171
unknown,unknown,G1,YLR154C,YLR154C,YLR154C,undocumented,New,novel,2.181
cell cycle,cyclin,S/G2,YIL050W,PCL7,PCL7,undocumented,New,"Cyclin, associates with Pho85p ",2.186
unknown,unknown,G2/M,YCL065W,YCL065W,YCL065W,undocumented,New,Protein of unknown function ,2.192
unknown,unknown,G1,YDR279W,YDR279W,YDR279W,undocumented,New,novel,2.199
unknown,unknown; suppressor of Rad53 lethality,G1,YKR091W,YKR091W,SRL3,undocumented,New,Suppressor of Rad53 lethality,2.21
cytoskeleton,spindle pole body component,G1,YGL093W,YGL093W,SPC105,undocumented,New,Protein of unknown function ,2.211
unknown,unknown,S/G2,YNL176C,YNL176C,YNL176C,undocumented,New,Protein of unknown function ,2.213
protein folding,mitochondrial chaperonin,M/G1,YNL328C,MDJ2,MDJ2,viable,New,"Protein of the mitochondrial inner membrane with similarity to E. coli DnaJ and other DnaJ-like proteins, function partially overlaps that of Mdj1p ",2.219
unknown,unknown,G2/M,YOR383C,YOR383C,YOR383C,undocumented,New,Protein of unknown function ,2.223
unknown,similar to members of the Pir1p/Hsp150p/Pir3p,M/G1,YHR126C,YHR126C,YHR126C,undocumented,New,Protein with similarity to members of the Pir1p/Hsp150p/Pir3p family ,2.224
transport,methionine permease,G1,YGR055W,MUP1,MUP1,viable,New,High-affinity methionine permease ,2.227
nuclear fusion (putative),Kar3p interactor,S,YPL253C,VIK1,VIK1,undocumented,New,Probable coiled-coil protein that interacts with Kar3p ,2.239
unknown,unknown,G1,YJL018W,YJL018W,YJL018W,undocumented,New,"Questionable ORF, overlaps with YJL018W ",2.24
"DNA repair, mitochondrial",DNA helicase,G1,YML061C,PIF1,PIF1,viable,New,"Single-stranded DNA-dependent ATPase and 5'-3' DNA helicase required for maintenance and repair of mitochondrial DNA, also functions in nucleus to regulate telomere length ",2.254
unknown,unknown,S/G2,YPL021W,SRD2,ECM23,undocumented,New,Protein with similarity to Srd1p ,2.258
TCA cycle,isocitrate dehydrogenase,G2/M,YNL037C,IDH1,IDH1,viable,New,"Isocitrate dehydrogenase (NAD+) subunit 1, mitochondrial, required for oxidative function of the tricarboxylic acid cycle ",2.259
unknown,unknown,G1,YGL060W,YGL060W,YGL060W,undocumented,New,Protein of unknown function ,2.261
unknown,protein kinase,S/G2,YHR135C,YCK1,YCK1,viable,New,Casein kinase I isoform,2.263
unknown,unknown,S/G2,YMR002W,YMR002W,YMR002W,undocumented,New,similarity to hypothetical S.pombe and C.elegans proteins,2.265
DNA replication,polymerase delta 55 KD subunit,G1,YJR006W,HUS2,HYS2,lethal,New,Aka POL31; Small subunit of dna polymerase delta,2.271
cytoskeleton,spindle pole body component,S,YKR037C,YKR037C,SPC34,lethal,New,aka SPC34; spindle pole body protein,2.284
cell wall biogenesis,chitin synthase regulator,M/G1,YBL061C,SKT5,SKT5,viable,New,"Protoplast regeneration and killer toxin resistance protein, required for chitin synthase III activity ",2.287
unknown,similar to other subtelomerically-encoded proteins,G1,YML133C,YML133C,YML133C,undocumented,New,"Protein with similarity to other subtelomerically-encoded proteins including Yer189p, and Yjl225p ",2.287
unknown,unknown,G2/M,YDL039C,YDL039C,YDL039C,undocumented,New,Protein of unknown function ,2.295
cell wall biogenesis,unknown,S,YJL201W,ECM25,ECM25,undocumented,New,Protein possibly involved in cell wall structure or biosynthesis,2.302
"mitosis, nuclear migration",unknown,S/G2,YDR150W,NUM1,NUM1,viable,Known,"Nuclear migration protein, controls interaction of bud-neck cytoskeleton with G2 nucleus",2.306
cytoskeleton,spindle pole body component,S/G2,YER018C,YER018C,SPC25,lethal,New,Protein of unknown function ,2.317
unknown,unknown,S/G2,YML072C,YML072C,YML072C,undocumented,New,similarity to YOR086C and YNL087w,2.319
mitosis,"kinetochore protein complex CBF3, 110 KD subunit",G1,YGR140W,CBF2,CBF2,lethal,New,Component (subunit a) of Cbf3 kinetochore complex ,2.327
