mgi_marker,symbol,name,chr
MGI:1920988,Haus7,"HAUS augmin-like complex, subunit 7",X
MGI:1923728,Haus8,"4HAUS augmin-like complex, subunit 8",8
MGI:1343091,Hdac3,histone deacetylase 3,18
MGI:1917565,Hdac8,histone deacetylase 8,X
MGI:2685817,Hecw2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",1
MGI:2141520,Hepacam2,HEPACAM family member 2,6
MGI:3036246,Hfm1,"HFM1, ATP-dependent DNA helicase homolog",5
MGI:2429620,Hinfp,histone H4 transcription factor,9
MGI:101761,Hmga2,high mobility group AT-hook 2,10
MGI:1858195,Hnrnpu,heterogeneous nuclear ribonucleoprotein U,1
MGI:1915231,Hormad1,HORMA domain containing 1,3
MGI:1923078,Hormad2,HORMA domain containing 2,11
MGI:96173,Hoxa13,homeobox A13,6
MGI:96238,Hsf1,heat shock factor 1,15
MGI:1921627,Hsf2bp,heat shock transcription factor 2 binding protein,17
MGI:96244,Hspa1a,heat shock protein 1A,17
MGI:99517,Hspa1b,heat shock protein 1B,17
MGI:96243,Hspa2,heat shock protein 2,12
MGI:96067,Htt,huntingtin,5
MGI:1277962,Hus1,HUS1 checkpoint clamp component,11
MGI:2671003,Hus1b,HUS1 checkpoint clamp component B,13
MGI:96298,Hyal1,hyaluronoglucosaminidase 1,9
MGI:96397,Id2,inhibitor of DNA binding 2,12
MGI:99414,Id4,inhibitor of DNA binding 4,13
MGI:104814,Ier3,immediate early response 3,17
MGI:2444516,Iffo1,intermediate filament family orphan 1,6
MGI:96432,Igf1,insulin-like growth factor 1,10
MGI:96433,Igf1r,insulin-like growth factor I receptor,7
MGI:96434,Igf2,insulin-like growth factor 2,7
MGI:3612242,Iho1,interactor of HORMAD1 1,9
MGI:1345142,Ik,IK cytokine,18
MGI:96542,Il1a,interleukin 1 alpha,2
MGI:96543,Il1b,interleukin 1 beta,2
MGI:1914694,Ilkap,integrin-linked kinase-associated serine/threonine phosphatase 2C,1
MGI:1313288,Incenp,inner centromere protein,19
MGI:1916510,Ing2,"inhibitor of growth family, member 2",8
MGI:96570,Inhba,inhibin beta-A,13
MGI:1915392,Ino80,INO80 complex subunit,2
MGI:1917942,Insc,INSC spindle orientation adaptor protein,7
MGI:1859980,Insm1,insulinoma-associated 1,2
MGI:1930787,Insm2,insulinoma-associated 2,12
MGI:96575,Insr,insulin receptor,8
MGI:2140050,Ints3,integrator complex subunit 3,3
MGI:1924315,Ints7,integrator complex subunit 7,1
MGI:1918427,Ints13,integrator complex subunit 13,6
MGI:3028642,Iqgap3,IQ motif containing GTPase activating protein 3,3
MGI:1919205,Ist1,increased sodium tolerance 1 homolog (yeast),8
MGI:96610,Itgb1,integrin beta 1 (fibronectin receptor beta),8
MGI:1925835,Jade1,jade family PHD finger 1,3
MGI:1346082,Jtb,jumping translocation breakpoint,3
MGI:2384568,Kank2,KN motif and ankyrin repeat domains 2,9
MGI:2687329,Kash5,KASH domain containing 5,7
MGI:1343101,Kat2a,K(lysine) acetyltransferase 2A,11
MGI:1343094,Kat2b,K(lysine) acetyltransferase 2B,17
MGI:1917264,Kat14,lysine acetyltransferase 14,2
MGI:96662,Kcna5,"potassium voltage-gated channel, shaker-related subfamily, member 5",6
MGI:3584508,Kcnh5,"potassium voltage-gated channel, subfamily H (eag-related), member 5",12
MGI:1924285,Kdm8,lysine (K)-specific demethylase 8,7
MGI:1914241,Khdc3,"KH domain containing 3, subcortical maternal complex member",9
MGI:108390,Kif2a,kinesin family member 2A,13
MGI:1920720,Kif2b,kinesin family member 2B,11
MGI:1921054,Kif2c,kinesin family member 2C,4
MGI:107689,Kif3a,kinesin family member 3A,11
MGI:107688,Kif3b,kinesin family member 3B,2
MGI:108389,Kif4,kinesin family member 4,X
MGI:1098231,Kif11,kinesin family member 11,19
MGI:1098264,Kif13a,kinesin family member 13A,13
MGI:1098226,Kif14,kinesin family member 14,1
MGI:2446977,Kif18a,kinesin family member 18A,2
MGI:2446979,Kif18b,kinesin family member 18B,11
MGI:1201682,Kif20a,kinesin family member 20A,18
MGI:2444576,Kif20b,kinesin family member 20B,19
MGI:109233,Kif22,kinesin family member 22,7
MGI:1919069,Kif23,kinesin family member 23,9
MGI:109596,Kifc1,kinesin family member C1,17
MGI:109187,Kifc2,kinesin family member C2,15
MGI:2137414,Kifc5b,kinesin family member C5B,17
MGI:2684960,Kiz,kizuna centrosomal protein,2
MGI:1342287,Klf4,Kruppel-like factor 4 (gut),4
MGI:2653368,Klf11,Kruppel-like factor 11,12
MGI:1925517,Klhdc8b,kelch domain containing 8B,9
MGI:2180122,Klhl9,kelch-like 9,4
MGI:1914705,Klhl13,kelch-like 13,X
MGI:2143315,Klhl18,kelch-like 18,9
MGI:1919288,Klhl21,kelch-like 21,4
MGI:1337995,Klhl22,kelch-like 22,16
MGI:1924825,Kmt2e,lysine (K)-specific methyltransferase 2E,5
MGI:1923714,Knl1,kinetochore scaffold 1,2
MGI:1289298,Knstrn,kinetochore-localized astrin/SPAG5 binding,2
MGI:2673709,Kntc1,kinetochore associated 1,5
MGI:107532,Kpnb1,karyopherin (importin) beta 1,11
MGI:2676663,L3mbtl1,L3MBTL1 histone methyl-lysine binding protein,2
MGI:107634,Larp7,"La ribonucleoprotein domain family, member 7",3
MGI:1333883,Lats1,large tumor suppressor,10
MGI:1354386,Lats2,large tumor suppressor 2,14
MGI:1353593,Lcmt1,leucine carboxyl methyltransferase 1,7
MGI:96770,Lef1,lymphoid enhancer binding factor 1,3
MGI:96787,Lif,leukemia inhibitory factor,11
MGI:101789,Lig1,"ligase I, DNA, ATP-dependent",7
MGI:1197517,Limk2,LIM motif-containing protein kinase 2,11
MGI:102682,Llgl1,LLGL1 scribble cell polarity complex component,11
MGI:1918843,Llgl2,LLGL2 scribble cell polarity complex component,11
MGI:96794,Lmna,lamin A,3
MGI:96795,Lmnb1,lamin B1,18
MGI:1278315,Lrp5,low density lipoprotein receptor-related protein 5,19
MGI:2151045,Lsm10,U7 snRNP-specific Sm-like protein LSM10,4
MGI:1919540,Lsm11,U7 snRNP-specific Sm-like protein LSM11,11
MGI:1914320,Lsm14a,LSM14A mRNA processing body assembly factor,7
MGI:2684762,Lzts1,"leucine zipper, putative tumor suppressor 1",8
MGI:1315200,M1ap,meiosis 1 associated protein,6
MGI:1349392,Macroh2a1,macroH2A.1 histone,13
MGI:1341857,Mad1l1,MAD1 mitotic arrest deficient 1-like 1,5
MGI:1860374,Mad2l1,MAD2 mitotic arrest deficient-like 1,6
MGI:1913841,Mad2l1bp,MAD2L1 binding protein,17
MGI:2138453,Mael,maelstrom spermatogenic transposon silencer,1
MGI:1923913,Majin,membrane anchored junction protein,19
MGI:1346880,Map3k11,mitogen-activated protein kinase kinase kinase 11,19
MGI:2443258,Map3k20,mitogen-activated protein kinase kinase kinase 20,2
MGI:97178,Map4,microtubule-associated protein 4,9
MGI:2442208,Map9,microtubule-associated protein 9,3
MGI:1921643,Map10,microtubule-associated protein 10,8
MGI:1346861,Mapk8,mitogen-activated protein kinase 8,14
MGI:1346865,Mapk14,mitogen-activated protein kinase 14,17
MGI:2652894,Mapk15,mitogen-activated protein kinase 15,15
MGI:891995,Mapre1,"microtubule-associated protein, RP/EB family, member 1",2
MGI:106271,Mapre2,"microtubule-associated protein, RP/EB family, member 2",18
MGI:2140967,Mapre3,"microtubule-associated protein, RP/EB family, member 3",5
MGI:2444505,Marf1,meiosis regulator and mRNA stability 1,16
MGI:1920955,Mark4,MAP/microtubule affinity regulating kinase 4,7
MGI:1914371,Mastl,microtubule associated serine/threonine kinase-like,2
MGI:1921799,Mau2,MAU2 sister chromatid cohesion factor,8
MGI:1333850,Mbd4,methyl-CpG binding domain protein 4,6
MGI:105380,Mcm2,minichromosome maintenance complex component 2,6
MGI:101845,Mcm3,minichromosome maintenance complex component 3,1
MGI:103199,Mcm4,minichromosome maintenance complex component 4,16
MGI:103197,Mcm5,minichromosome maintenance complex component 5,8
MGI:1298227,Mcm6,minichromosome maintenance complex component 6,1
MGI:1298398,Mcm7,minichromosome maintenance complex component 7,5
MGI:1920977,Mcmbp,minichromosome maintenance complex binding protein,7
MGI:3045334,Mcmdc2,minichromosome maintenance domain containing 2,1
MGI:2443308,Mcph1,"microcephaly, primary autosomal recessive 1",8
MGI:96951,Mdm1,transformed mouse 3T3 cell double minute 1,10
MGI:96952,Mdm2,transformed mouse 3T3 cell double minute 2,10
MGI:99918,Mecp2,methyl CpG binding protein 2,X
MGI:1100846,Med1,mediator complex subunit 1,11
MGI:3028590,Mei1,meiotic double-stranded break formation protein 1,15
MGI:1922283,Mei4,meiotic double-stranded break formation protein 4,9
MGI:1922097,Meikin,meiotic kinetochore factor,11
MGI:1922428,Meiob,meiosis specific with OB domains,17
MGI:2686410,Meioc,meiosis specific with coiled-coil domain,11
MGI:3647482,Meiosin,meiosis initiator,7
MGI:1316736,Men1,multiple endocrine neoplasia 1,19
MGI:106477,Mepce,methylphosphate capping enzyme,5
MGI:96969,Met,met proto-oncogene,6
MGI:106506,Miip,migration and invasion inhibitory protein,4
MGI:2676900,Mir26a-1,microRNA 26a-1,9
MGI:3619045,Mir26a-2,microRNA 26a-2,10
MGI:2676901,Mir26b,microRNA 26b,1
MGI:2676807,Mir124a-1,microRNA 124a-1,14
MGI:3618700,Mir124a-2,microRNA 124a-2,3
MGI:3618704,Mir124a-3,microRNA 124a-3,2
MGI:1914389,Mis12,MIS12 kinetochore complex component,11
MGI:1926156,Misp,mitotic spindle positioning,10
MGI:1916278,Mitd1,"MIT, microtubule interacting and transport, domain containing 1",1
MGI:106035,Mki67,antigen identified by monoclonal antibody Ki 67,7
MGI:101938,Mlh1,mutL homolog 1,9
MGI:1353455,Mlh3,mutL homolog 3,12
MGI:1261813,Mn1,meningioma 1,5
MGI:106207,Mnat1,menage a trois 1,12
MGI:1924165,Mnd1,meiotic nuclear divisions 1,3
MGI:3045293,Morc2b,microrchidia 2B,17
MGI:97052,Mos,Moloney sarcoma oncogene,4
MGI:1891384,Mov10l1,Mov10 like RISC complex RNA helicase 1,15
MGI:1100512,Mre11a,"MRE11A homolog A, double strand break repair nuclease",9
MGI:3033095,Mrgpra1,"MAS-related GPR, member A1",7
MGI:3821888,Mrgpra2a,"MAS-related GPR, member A2A",7
MGI:2684085,Mrgpra3,"MAS-related GPR, member A3",7
MGI:3033100,Mrgpra4,"MAS-related GPR, member A4",7
MGI:3033102,Mrgpra5,"MAS-related GPR, member A5",7
MGI:3033107,Mrgpra6,"MAS-related GPR, member A6",7
MGI:3033109,Mrgpra7,"MAS-related GPR, member A7",UN
MGI:3033111,Mrgpra8,"MAS-related GPR, member A8",UN
MGI:3033148,Mrgpra9,"MAS-related GPR, member A9",7
MGI:3033115,Mrgprb1,"MAS-related GPR, member B1",7
MGI:2441674,Mrgprb2,"MAS-related GPR, member B2",7
MGI:3033117,Mrgprb3,"MAS-related GPR, member B3",7
MGI:3033119,Mrgprb4,"MAS-related GPR, member B4",7
MGI:3033121,Mrgprb5,"MAS-related GPR, member B5",7
MGI:3033134,Mrgprb8,"MAS-related GPR, member B8",7
MGI:3588270,Mrgprx2,"MAS-related GPR, member X2",7
MGI:1915317,Mrnip,MRN complex interacting protein,11
MGI:101816,Msh2,mutS homolog 2,17
MGI:109519,Msh3,mutS homolog 3,13
MGI:1860077,Msh4,mutS homolog 4,3
MGI:1329021,Msh5,mutS homolog 5,17
MGI:1343961,Msh6,mutS homolog 6,17
MGI:97168,Msx1,msh homeobox 1,5
MGI:97169,Msx2,msh homeobox 2,13
MGI:2151172,Mta3,metastasis associated 3,17
MGI:2146005,Mtbp,"Mdm2, transformed 3T3 cell double minute p53 binding protein",15
MGI:97231,Muc1,"mucin 1, transmembrane",3
MGI:1918961,Mus81,MUS81 structure-specific endonuclease subunit,19
MGI:97249,Myb,myeloblastosis oncogene,10
MGI:99925,Mybl1,myeloblastosis oncogene-like 1,1
MGI:101785,Mybl2,myeloblastosis oncogene-like 2,2
MGI:97250,Myc,myelocytomatosis oncogene,15
MGI:107717,Myh9,"myosin, heavy polypeptide 9, non-muscle",15
MGI:1930780,Myh10,"myosin, heavy polypeptide 10, non-muscle",11
MGI:2685951,Myo16,myosin XVI,8
MGI:1913446,Myo19,myosin XIX,11
MGI:1924039,Mzt1,mitotic spindle organizing protein 1,14
MGI:1915255,Naa10,"N(alpha)-acetyltransferase 10, NatA catalytic subunit",X
MGI:1919367,Naa50,"N(alpha)-acetyltransferase 50, NatE catalytic subunit",16
MGI:1923258,Nabp1,nucleic acid binding protein 1,1
MGI:1917167,Nabp2,nucleic acid binding protein 2,10
MGI:1915241,Nacc2,"nucleus accumbens associated 2, BEN and BTB (POZ) domain containing",2
MGI:2384561,Nae1,NEDD8 activating enzyme E1 subunit 1,8
MGI:2676627,Nanos2,nanos C2HC-type zinc finger 2,7
MGI:1355328,Nasp,nuclear autoantigenic sperm protein (histone-binding),4
MGI:2138939,Nat10,N-acetyltransferase 10,2
MGI:1351625,Nbn,nibrin,4
MGI:1915548,Ncapd2,"non-SMC condensin I complex, subunit D2",6
MGI:2142989,Ncapd3,"non-SMC condensin II complex, subunit D3",9
MGI:1930197,Ncapg,"non-SMC condensin I complex, subunit G",5
MGI:1923294,Ncapg2,"non-SMC condensin II complex, subunit G2",12
MGI:2444777,Ncaph,"non-SMC condensin I complex, subunit H",2
MGI:1289164,Ncaph2,"non-SMC condensin II complex, subunit H2",15
MGI:1349717,Ncor1,nuclear receptor co-repressor 1,11
MGI:1920037,Ndc1,NDC1 transmembrane nucleoporin,4
MGI:1914302,Ndc80,NDC80 kinetochore complex component,17
MGI:1914453,Nde1,nudE neurodevelopment protein 1,16
MGI:1932915,Ndel1,nudE neurodevelopment protein 1 like 1,11
MGI:97303,Nek1,NIMA (never in mitosis gene a)-related expressed kinase 1,8
MGI:109359,Nek2,NIMA (never in mitosis gene a)-related expressed kinase 2,1
MGI:1891638,Nek6,NIMA (never in mitosis gene a)-related expressed kinase 6,2
MGI:2685128,Nek10,NIMA (never in mitosis gene a)- related kinase 10,14
MGI:2442276,Nek11,NIMA (never in mitosis gene a)-related expressed kinase 11,9
MGI:101784,Nes,nestin,3
MGI:107754,Neurog1,neurogenin 1,13
MGI:102469,Nfatc1,"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1",18
MGI:99421,Nfe2l1,"nuclear factor, erythroid derived 2,-like 1",11
MGI:105108,Nin,ninein,12
MGI:1913976,Nipbl,NIPBL cohesin loading factor,15
MGI:1345193,Nlrp5,"NLR family, pyrin domain containing 5",7
MGI:1861676,Nme6,NME/NM23 nucleoside diphosphate kinase 6,9
MGI:2154441,Nop53,NOP53 ribosome biogenesis factor,7
MGI:107605,Npat,nuclear protein in the AT region,9
MGI:106184,Npm1,nucleophosmin 1,11
MGI:1890811,Npm2,nucleophosmin/nucleoplasmin 2,14
MGI:3042273,Nsfl1c,NSFL1 (p97) cofactor (p47),2
MGI:2685830,Nsl1,"NSL1, MIS12 kinetochore complex component",1
MGI:1915751,Nsmce2,"NSE2/MMS21 homolog, SMC5-SMC6 complex SUMO ligase",15
MGI:107252,Nsun2,NOL1/NOP2/Sun domain family member 2,13
MGI:1913867,Ntmt1,N-terminal Xaa-Pro-Lys N-methyltransferase 1,2
MGI:1347073,Nubp1,nucleotide binding protein 1,16
MGI:106014,Nudc,nudC nuclear distribution protein,4
MGI:1914227,Nuf2,"NUF2, NDC80 kinetochore complex component",1
MGI:2685446,Nuggc,"nuclear GTPase, germinal center associated",14
MGI:2443665,Numa1,nuclear mitotic apparatus protein 1,7
MGI:1351500,Nup62,nucleoporin 62,7
MGI:2675669,Nusap1,nucleolar and spindle associated protein 1,2
MGI:2149034,Obox4,oocyte specific homeobox 4,7
MGI:2138628,Obsl1,obscurin-like 1,1
MGI:1098824,Odf2,outer dense fiber of sperm tails 2,2
MGI:1350328,Ofd1,"OFD1, centriole and centriolar satellite protein",X
MGI:1915218,Ooep,oocyte expressed protein,9
MGI:1328337,Orc1,"origin recognition complex, subunit 1",4
MGI:1354944,Orc3,"origin recognition complex, subunit 3",4
MGI:104749,Osm,oncostatin M,11
MGI:1330290,Ovol1,ovo like zinc finger 1,19
MGI:1923988,Paf1,"Paf1, RNA polymerase II complex component",7
MGI:109520,Pafah1b1,"platelet-activating factor acetylhydrolase, isoform 1b, subunit 1",11
MGI:1914528,Pagr1a,PAXIP1 associated glutamate rich protein 1A,7
MGI:5141883,Pagr1b,PAXIP1 associated glutamate rich protein 1B,7
MGI:1927223,Pard6a,par-6 family cell polarity regulator alpha,8
MGI:2135605,Pard6b,par-6 family cell polarity regulator beta,2
MGI:2135606,Pard6g,par-6 family cell polarity regulator gamma,18
MGI:1891258,Parp3,"poly (ADP-ribose) polymerase family, member 3",9
MGI:97490,Pax6,paired box 6,2
MGI:1890430,Paxip1,PAX interacting (with transcription-activation domain) protein 1,5
MGI:97495,Pbx1,pre B cell leukemia homeobox 1,1
MGI:2443003,Pcid2,PCI domain containing 2,8
MGI:1915276,Pclaf,PCNA clamp associated factor,9
MGI:1277958,Pcm1,pericentriolar material 1,8
MGI:97503,Pcna,proliferating cell nuclear antigen,2
MGI:102722,Pcnt,pericentrin (kendrin),10
MGI:1333753,Pdcd6ip,programmed cell death 6 interacting protein,9
MGI:1860764,Pde3a,"phosphodiesterase 3A, cGMP inhibited",6
MGI:1891434,Pde4dip,phosphodiesterase 4D interacting protein (myomegalin),3
MGI:97528,Pdgfb,"platelet derived growth factor, B polypeptide",15
MGI:97531,Pdgfrb,"platelet derived growth factor receptor, beta polypeptide",18
MGI:103098,Pdpn,podoplanin,4
MGI:1918771,Pds5a,PDS5 cohesin associated factor A,5
MGI:2140945,Pds5b,PDS5 cohesin associated factor B,5
MGI:1919282,Pdxp,"pyridoxal (pyridoxine, vitamin B6) phosphatase",15
MGI:1344408,Pebp1,phosphatidylethanolamine binding protein 1,5
MGI:102520,Phb2,prohibitin 2,6
MGI:2444341,Phf8,PHD finger protein 8,X
MGI:2446217,Phf13,PHD finger protein 13,4
MGI:1355330,Phgdh,3-phosphoglycerate dehydrogenase,3
MGI:1932404,Phip,pleckstrin homology domain interacting protein,9
MGI:1261910,Pibf1,progesterone immunomodulatory binding factor 1,14
MGI:1889507,Pidd1,p53 induced death domain protein 1,7
MGI:2445019,Pik3c3,phosphatidylinositol 3-kinase catalytic subunit type 3,18
MGI:1922919,Pik3r4,phosphoinositide-3-kinase regulatory subunit 4,9
MGI:97587,Pim2,proviral integration site 2,X
MGI:1346036,Pin1,"peptidyl-prolyl cis/trans isomerase, NIMA-interacting 1",9
MGI:1919650,Pinx1,"PIN2/TERF1 interacting, telomerase inhibitor 1",14
MGI:1930036,Piwil2,piwi-like RNA-mediated gene silencing 2,14
MGI:97603,Pkd1,"polycystin 1, transient receptor potential channel interacting",17
MGI:1099818,Pkd2,"polycystin 2, transient receptor potential cation channel",5
MGI:2155808,Pkhd1,polycystic kidney and hepatic disease 1,1
MGI:104747,Pkia,"protein kinase inhibitor, alpha",3
MGI:109211,Pkn2,protein kinase N2,3
MGI:109281,Pkp4,plakophilin 4,2
MGI:97613,Plcb1,"phospholipase C, beta 1",2
MGI:97616,Plcg2,"phospholipase C, gamma 2",8
MGI:1277961,Plec,plectin,15
MGI:97621,Plk1,polo like kinase 1,7
MGI:1099790,Plk2,polo like kinase 2,13
MGI:109604,Plk3,polo like kinase 3,4
MGI:101783,Plk4,polo like kinase 4,3
MGI:3026984,Plk5,polo like kinase 5,10
MGI:1354945,Plpp2,phospholipid phosphatase 2,10
MGI:1858197,Plrg1,pleiotropic regulator 1,3
MGI:104662,Pml,promyelocytic leukemia,9
MGI:1917485,Poc1a,POC1 centriolar protein A,9
MGI:1918511,Poc1b,POC1 centriolar protein B,10
MGI:2442117,Pogz,pogo transposable element with ZNF domain,3
MGI:99660,Pola1,"polymerase (DNA directed), alpha 1",X
MGI:1196391,Pole,"polymerase (DNA directed), epsilon",5
MGI:1858214,Ppm1d,"protein phosphatase 1D magnesium-dependent, delta isoform",11
MGI:1289273,Ppp1r10,"protein phosphatase 1, regulatory subunit 10",17
MGI:1309528,Ppp1r12a,"protein phosphatase 1, regulatory subunit 12A",10
MGI:1926334,Ppp2r1a,"protein phosphatase 2, regulatory subunit A, alpha",17
MGI:1335093,Ppp2r3d,"protein phosphatase 2 (formerly 2A), regulatory subunit B'', delta",9
MGI:2388480,Ppp2r5b,"protein phosphatase 2, regulatory subunit B', beta",19
MGI:1349475,Ppp2r5c,"protein phosphatase 2, regulatory subunit B', gamma",12
MGI:107164,Ppp3ca,"protein phosphatase 3, catalytic subunit, alpha isoform",3
MGI:893573,Prap1,proline-rich acidic protein 1,7
MGI:1858961,Prc1,protein regulator of cytokinesis 1,7
MGI:2384854,Prdm9,PR domain containing 9,17
MGI:97599,Prkce,"protein kinase C, epsilon",17
MGI:97601,Prkcq,"protein kinase C, theta",2
MGI:104779,Prkdc,"protein kinase, DNA activated, catalytic polypeptide",16
MGI:1316652,Prmt2,protein arginine N-methyltransferase 2,10
MGI:97772,Prox1,prospero homeobox 1,1
MGI:106247,Prpf19,pre-mRNA processing factor 19,19
MGI:1860512,Prpf40a,pre-mRNA processing factor 40A,2
MGI:1920927,Psma8,proteasome subunit alpha 8,18
MGI:1098610,Psmc3ip,"proteasome (prosome, macropain) 26S subunit, ATPase 3, interacting protein",11
MGI:1345192,Psmd13,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 13",7
MGI:1096367,Psme1,"proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)",14
MGI:1096365,Psme2,"proteasome (prosome, macropain) activator subunit 2 (PA28 beta)",14
MGI:1096366,Psme3,"proteaseome (prosome, macropain) activator subunit 3 (PA28 gamma, Ki)",11
MGI:1922901,Psmg2,"proteasome (prosome, macropain) assembly chaperone 2",18
MGI:1913099,Psrc1,proline/serine-rich coiled-coil 1,3
MGI:1321396,Pstpip1,proline-serine-threonine phosphatase-interacting protein 1,9
MGI:109583,Pten,phosphatase and tensin homolog,19
MGI:1346006,Ptpa,protein phosphatase 2 protein activator,2
MGI:96055,Ptpn6,"protein tyrosine phosphatase, non-receptor type 6",6
MGI:99511,Ptpn11,"protein tyrosine phosphatase, non-receptor type 11",5
MGI:97810,Ptprc,"protein tyrosine phosphatase, receptor type, C",1
MGI:108027,Ptprv,"protein tyrosine phosphatase, receptor type, V",1
MGI:1353578,Pttg1,pituitary tumor-transforming gene 1,11
MGI:1858202,Rab11a,"RAB11A, member RAS oncogene family",9
MGI:2444431,Rab11fip3,RAB11 family interacting protein 3 (class II),17
MGI:2442920,Rab11fip4,RAB11 family interacting protein 4 (class II),11
MGI:1924657,Rab35,"RAB35, member RAS oncogene family",5
MGI:1349423,Racgap1,Rac GTPase-activating protein 1,15
MGI:1316678,Rad1,RAD1 checkpoint DNA exonuclease,15
MGI:1328356,Rad9a,RAD9 checkpoint clamp component A,19
MGI:2385231,Rad9b,RAD9 checkpoint clamp component B,5
MGI:1333807,Rad17,RAD17 checkpoint clamp loader component,13
MGI:108016,Rad21,RAD21 cohesin complex component,15
MGI:3652039,Rad21l,RAD21-like (S. pombe),2
MGI:109292,Rad50,RAD50 double strand break repair protein,11
MGI:97890,Rad51,RAD51 recombinase,2
MGI:1098224,Rad51ap1,RAD51 associated protein 1,6
MGI:1099436,Rad51b,RAD51 paralog B,12
MGI:2150020,Rad51c,RAD51 paralog C,11
MGI:1261809,Rad51d,RAD51 paralog D,11
MGI:3605986,Rad54b,RAD54 homolog B (S. cerevisiae),4
MGI:894697,Rad54l,RAD54 like (S. cerevisiae),4
MGI:1913929,Rae1,ribonucleic acid export 1,2
MGI:108466,Ralbp1,ralA binding protein 1,17
MGI:1333112,Ran,"RAN, member RAS oncogene family",5
MGI:96269,Ranbp1,RAN binding protein 1,16
MGI:104605,Rasl2-9,"RAS-like, family 2, locus 9",7
MGI:97874,Rb1,RB transcriptional corepressor 1,14
MGI:2442995,Rbbp8,"retinoblastoma binding protein 8, endonuclease",18
MGI:103300,Rbl1,RB transcriptional corepressor like 1,2
MGI:105085,Rbl2,RB transcriptional corepressor like 2,8
MGI:1889294,Rbm38,RNA binding motif protein 38,2
MGI:1913989,Rcc1,regulator of chromosome condensation 1,4
MGI:1919784,Rcc2,regulator of chromosome condensation 2,4
MGI:97887,Rdx,radixin,9
MGI:1929645,Rec8,REC8 meiotic recombination protein,14
MGI:1931028,Recql4,RecQ protein-like 4,15
MGI:2156841,Recql5,RecQ protein-like 5,11
MGI:88930,Reep3,receptor accessory protein 3,10
MGI:1919799,Reep4,receptor accessory protein 4,14
MGI:2384584,Rfwd3,ring finger and WD repeat domain 3,8
MGI:1913464,Rgcc,regulator of cell cycle,14
MGI:1859709,Rgs14,regulator of G-protein signaling 14,13
MGI:1915315,Rhno1,RAD9-HUS1-RAD1 interacting nuclear orphan 1,6
MGI:1096342,Rhoa,ras homolog family member A,9
MGI:107949,Rhob,ras homolog family member B,12
MGI:106028,Rhoc,ras homolog family member C,3
MGI:1916831,Rhou,ras homolog family member U,8
MGI:1916233,Rint1,RAD50 interactor 1,5
MGI:1914295,Riok2,RIO kinase 2,17
MGI:108212,Ripk1,receptor (TNFRSF)-interacting serine-threonine kinase 1,13
MGI:2444879,Ripor2,RHO family interacting cell polarization regulator 2,13
MGI:1921636,Rmi1,RecQ mediated genome instability 1,13
MGI:2685383,Rmi2,RecQ mediated genome instability 2,16
MGI:1914403,Rnaseh2b,"ribonuclease H2, subunit B",14
MGI:1201691,Rnf4,ring finger protein 4,5
MGI:106611,Rnf112,ring finger protein 112,11
MGI:3645767,Rnf212,ring finger protein 212,5
MGI:5589964,Rnf212b,ring finger protein 212B,14
MGI:97995,Rny1,"RNA, Y1 small cytoplasmic, Ro-associated",6
MGI:107304,Rny3,"RNA, Y3 small cytoplasmic (associated with Ro protein)",6
MGI:107927,Rock1,Rho-associated coiled-coil containing protein kinase 1,18
MGI:107926,Rock2,Rho-associated coiled-coil containing protein kinase 2,12
MGI:1339939,Rpa2,replication protein A2,4
MGI:2448270,Rpl17,ribosomal protein L17,18
MGI:1915443,Rpl24,ribosomal protein L24,16
MGI:106022,Rpl26,ribosomal protein L26,11
MGI:1917720,Rprd1b,regulation of nuclear pre-mRNA domain containing 1B,2
MGI:1350917,Rps3,ribosomal protein S3,7
MGI:98159,Rps6,ribosomal protein S6,4
MGI:1342290,Rps6ka2,"ribosomal protein S6 kinase, polypeptide 2",17
MGI:1270849,Rps6kb1,"ribosomal protein S6 kinase, polypeptide 1",11
MGI:1915191,Rps27l,ribosomal protein S27-like,9
MGI:1921620,Rptor,"regulatory associated protein of MTOR, complex 1",11
MGI:5489785,Rr27,regulatory region 27,7
MGI:1929721,Rrs1,ribosome biogenesis regulator 1,1
MGI:2183426,Rspo1,R-spondin 1,4
MGI:2139369,Rtel1,regulator of telomere elongation helicase 1,2
MGI:1913654,Rtf2,replication termination factor 2,2
MGI:107371,Rtkn,rhotekin,6
MGI:2179288,Rttn,rotatin,18
MGI:2441827,Rxfp3,relaxin family peptide receptor 3,15
MGI:1913656,Sac3d1,SAC3 domain containing 1,19
MGI:1919330,Sapcd2,suppressor APC domain containing 2,2
MGI:1920026,Sass6,SAS-6 centriolar assembly protein,3
MGI:1913961,Sbds,SBDS ribosome maturation factor,5
MGI:1924066,Sdccag8,serologically defined colon cancer antigen 8,1
MGI:2384788,Sde2,SDE2 telomere maintenance homolog (S. pombe),1
MGI:1919374,Seh1l,SEH1-like (S. cerevisiae,18
MGI:1923076,Senp2,SUMO/sentrin specific peptidase 2,16
MGI:1922075,Senp6,SUMO/sentrin specific peptidase 6,9
MGI:1858916,Septin1,septin 1,7
MGI:97298,Septin2,septin 2,1
MGI:1345148,Septin3,septin 3,15
