"initial_alias","converted_alias","name","description","namespace"
"YDL172C","YDL172C","YDL172C","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000002331]","ENSG,ENSP"
"YDL175C","YDL175C","AIR2","RNA-binding subunit of the TRAMP nuclear RNA surveillance complex; involved in nuclear RNA processing and degradation; involved in TRAMP complex assembly as a bridge between Mtr4p and Trf4p; stimulates the poly(A) polymerase activity of Pap2p in vitro; has 5 zinc knuckle motifs; AIR2 has a paralog, AIR1, that arose from the whole genome duplication; Air2p and Air1p have nonredundant roles in regulation of substrate specificity of the exosome [Source:SGD;Acc:S000002334]","ENSG,ENSP"
"YDL177C","YDL177C","YDL177C","Putative protein of unknown function; similar to the mouse IMPACT gene; YDL177C is not an essential gene [Source:SGD;Acc:S000002336]","ENSG,ENSP"
"YDL178W","YDL178W","DLD2","D-2-hydroxyglutarate dehydrogenase, and minor D-lactate dehydrogenase; mitochondrial matrix protein that oxidizes D-2-hydroxyglutarate (D-2HG), an oncometabolite, to alpha-ketoglutarate with a minor role in lactate catabolism; located in the mitochondrial matrix [Source:SGD;Acc:S000002337]","ENSG,ENSP"
"YDL179W","YDL179W","PCL9","Cyclin; forms a functional kinase complex with Pho85p cyclin-dependent kinase (Cdk), expressed in late M/early G1 phase, activated by Swi5p; PCL9 has a paralog, PCL2, that arose from the whole genome duplication [Source:SGD;Acc:S000002338]","ENSG,ENSP"
"YDL180W","YDL180W","YDL180W","Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole [Source:SGD;Acc:S000002339]","ENSG,ENSP"
"YDL181W","YDL181W","INH1","Protein that inhibits ATP hydrolysis by the F1F0-ATP synthase; inhibitory function is enhanced by stabilizing proteins Stf1p and Stf2p; has a calmodulin-binding motif and binds calmodulin in vitro; INH1 has a paralog, STF1, that arose from the whole genome duplication [Source:SGD;Acc:S000002340]","ENSG,ENSP"
"YDL182W","YDL182W","LYS20","Homocitrate synthase isozyme and functions in DNA repair; catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway; LYS20 has a paralog, LYS21, that arose from the whole genome duplication [Source:SGD;Acc:S000002341]","ENSG,ENSP"
"YDL183C","YDL183C","YDL183C","Protein that may form an active mitochondrial KHE system; mitochondrial inner-membrane protein; non-essential gene; KHE system stands for K+/H+ exchanger system [Source:SGD;Acc:S000002342]","ENSG,ENSP"
"YDL184C","YDL184C","RPL41A","Ribosomal 60S subunit protein L41A; comprises only 25 amino acids; rpl41a rpl41b double null mutant is viable; homologous to mammalian ribosomal protein L41, no bacterial homolog; RPL41A has a paralog, RPL41B, that arose from the whole genome duplication [Source:SGD;Acc:S000002343]","ENSG,ENSP"
"YDL187C","YDL187C","YDL187C","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000002346]","ENSG,ENSP"
"YDL188C","YDL188C","PPH22","Catalytic subunit of protein phosphatase 2A (PP2A); functionally redundant with Pph21p; methylated at C terminus; forms alternate complexes with several regulatory subunits; involved in signal transduction and regulation of mitosis; protein abundance increases in response to DNA replication stress; dephosphorylates Tel1p/Mec1p-phosphorylated Cdc13p to promote telomerase release from telomeres at G2/M; PPH22 has a paralog, PPH21, that arose from the whole genome duplication [Source:SGD;Acc:S000002347]","ENSG,ENSP"
"YDL190C","YDL190C","UFD2","Ubiquitin chain assembly factor (E4); cooperates with a ubiquitin-activating enzyme (E1), a ubiquitin-conjugating enzyme (E2), and a ubiquitin protein ligase (E3) to conjugate ubiquitin to substrates; also functions as an E3 [Source:SGD;Acc:S000002349]","ENSG,ENSP"
"YDL191W","YDL191W","RPL35A","Ribosomal 60S subunit protein L35A; homologous to mammalian ribosomal protein L35 and bacterial L29; RPL35A has a paralog, RPL35B, that arose from the whole genome duplication [Source:SGD;Acc:S000002350]","ENSG,ENSP"
"YDL192W","YDL192W","ARF1","ADP-ribosylation factor; GTPase of the Ras superfamily involved in regulation of coated vesicle formation in intracellular trafficking within the Golgi; ARF1 has a paralog, ARF2, that arose from the whole genome duplication; arf1 arf2 double null mutation is complemented by human ARF1, ARF4, ARF5, or ARF6 [Source:SGD;Acc:S000002351]","ENSG,ENSP"
"YDL193W","YDL193W","NUS1","Forms dehydrodolichyl diphosphate syntase complex with RER2 or SRT1; tet-repressible mutant shows accumulation of hypoglycosylated forms of CPY, suggesting that Nus1p may be involved in protein trafficking; mutations in human homolog NUS1 have been implicated in congenital scoliosis, neurological impairment, refractory epilepsy, hearing deficit, and visual impairment; human cis-prenyltransferase complex complements yeast null mutant [Source:SGD;Acc:S000002352]","ENSG,ENSP"
"YDL194W","YDL194W","SNF3","Plasma membrane low glucose sensor, regulates glucose transport; high affinity sensor that contains 12 predicted transmembrane segments and a long C-terminal tail required for induction of hexose transporters; also senses fructose and mannose; SNF3 has a paralog, RGT2, that arose from the whole genome duplication [Source:SGD;Acc:S000002353]","ENSG,ENSP"
"YDL195W","YDL195W","SEC31","Component of the Sec13p-Sec31p complex of the COPII vesicle coat; COPII coat is required for vesicle formation in ER to Golgi transport; mutant has increased aneuploidy tolerance [Source:SGD;Acc:S000002354]","ENSG,ENSP"
"YDL197C","YDL197C","ASF2","Anti-silencing protein; causes derepression of silent loci when overexpressed [Source:SGD;Acc:S000002356]","ENSG,ENSP"
"YDL198C","YDL198C","GGC1","Mitochondrial GTP/GDP transporter; essential for mitochondrial genome maintenance; has a role in mitochondrial iron transport; member of the mitochondrial carrier family [Source:SGD;Acc:S000002357]","ENSG,ENSP"
"YDL199C","YDL199C","YDL199C","Putative transporter; member of the sugar porter family [Source:SGD;Acc:S000002358]","ENSG,ENSP"
"YDL200C","YDL200C","MGT1","DNA repair methyltransferase (6-O-methylguanine-DNA methylase); involved in protection against DNA alkylation damage [Source:SGD;Acc:S000002359]","ENSG,ENSP"
"YDL201W","YDL201W","TRM8","Noncatalytic subunit of a tRNA methyltransferase complex; Trm8p and Trm82p comprise an enzyme that catalyzes a methyl-transfer from S-adenosyl-l-methionine to the N(7) atom of guanine at position 46 in tRNA; Trm8 lacks catalytic activity if not bound to Trm82p [Source:SGD;Acc:S000002360]","ENSG,ENSP"
"YDL203C","YDL203C","ACK1","Protein that functions in the cell wall integrity pathway; functions upstream of Pkc1p; GFP-fusion protein expression is induced in response to the DNA-damaging agent MMS; non-tagged Ack1p is detected in purified mitochondria [Source:SGD;Acc:S000002362]","ENSG,ENSP"
"YDL205C","YDL205C","HEM3","Porphobilinogen deaminase; catalyzes the conversion of 4-porphobilinogen to hydroxymethylbilane, the third step in heme biosynthesis; localizes to the cytoplasm and nucleus; expression is regulated by Hap2p-Hap3p, but not by levels of heme; human homolog HMBS can complement yeast mutant and allow growth of haploid null after sporulation of a heterozygous diploid [Source:SGD;Acc:S000002364]","ENSG,ENSP"
"YDL207W","YDL207W","GLE1","Cytoplasmic nucleoporin required for polyadenylated mRNA export; contains a nuclear export signal; when bound to inositol hexakisphosphate (IP6), functions as an activator for the Dbp5p ATPase activity at the nuclear pore complex during mRNA export; mediates translation initiation; required for efficient translation termination [Source:SGD;Acc:S000002366]","ENSG,ENSP"
"YDL209C","YDL209C","CWC2","Member of the NineTeen Complex (NTC); this complex contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs; binds directly to U6 snRNA; similar to S. pombe Cwf2 [Source:SGD;Acc:S000002368]","ENSG,ENSP"
"YDL210W","YDL210W","UGA4","GABA (gamma-aminobutyrate) permease; serves as a GABA transport protein involved in the utilization of GABA as a nitrogen source; catalyzes the transport of putrescine and delta-aminolevulinic acid (ALA); localized to the vacuolar membrane [Source:SGD;Acc:S000002369]","ENSG,ENSP"
"YDL211C","YDL211C","YDL211C","Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; YDL211C has a paralog, TDA7, that arose from the whole genome duplication [Source:SGD;Acc:S000002370]","ENSG,ENSP"
"YDL213C","YDL213C","NOP6","rRNA-binding protein required for 40S ribosomal subunit biogenesis; contains an RNA recognition motif (RRM); hydrophilin essential to overcome the stress of the desiccation-rehydration process; NOP6 may be a fungal-specific gene as no homologs have been yet identified in higher eukaryotes [Source:SGD;Acc:S000002372]","ENSG,ENSP"
"YDL215C","YDL215C","GDH2","NAD(+)-dependent glutamate dehydrogenase; degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels; genetically interacts with GDH3 by suppressing stress-induced apoptosis [Source:SGD;Acc:S000002374]","ENSG,ENSP"
"YDL216C","YDL216C","RRI1","Catalytic subunit of the COP9 signalosome (CSN) complex; acts as an isopeptidase in cleaving the ubiquitin-like protein Nedd8 from SCF ubiquitin ligases; metalloendopeptidase involved in the adaptation to pheromone signaling; involved in modulation of genes controlling amino acid and lipid metabolism, and ergosterol biosynthesis [Source:SGD;Acc:S000002375]","ENSG,ENSP"
"YDL217C","YDL217C","TIM22","Essential core component of the mitochondrial TIM22 complex; involved in insertion of polytopic proteins into the inner membrane; forms the channel through which proteins are imported [Source:SGD;Acc:S000002376]","ENSG,ENSP"
"YDL218W","YDL218W","YDL218W","Putative protein of unknown function; YDL218W transcription is regulated by Azf1p and induced by starvation and aerobic conditions; expression also induced in cells treated with the mycotoxin patulin [Source:SGD;Acc:S000002377]","ENSG,ENSP"
"YDL220C","YDL220C","CDC13","Single stranded DNA-binding protein found at TG1-3 telomere G-tails; key roles in regulation of telomerase, telomere end protection, conventional telomere replication; regulates telomere replication through recruitment of specific sub-complexes, essential function is telomere capping; forms homodimer via N-terminus; disruption of dimerization leads to short telomeres; autophagy and proteasome are involved in Cdc13p degradation; differentially phosphorylated through cell cycle [Source:SGD;Acc:S000002379]","ENSG,ENSP"
"YDL222C","YDL222C","FMP45","Integral membrane protein localized to mitochondria; required for sporulation and maintaining sphingolipid content; similar to SUR7; FMP45 has a paralog, YNL194C, that arose from the whole genome duplication [Source:SGD;Acc:S000002381]","ENSG,ENSP"
"YDL223C","YDL223C","HBT1","Shmoo tip protein, substrate of Hub1p ubiquitin-like protein; mutants are defective for mating projection formation, thereby implicating Hbt1p in polarized cell morphogenesis; HBT1 has a paralog, YNL195C, that arose from the whole genome duplication [Source:SGD;Acc:S000002382]","ENSG,ENSP"
"YDL224C","YDL224C","WHI4","Putative RNA binding protein; regulates the cell size requirement for passage through Start and commitment to cell division; WHI4 has a paralog, WHI3, that arose from the whole genome duplication [Source:SGD;Acc:S000002383]","ENSG,ENSP"
"YDL226C","YDL226C","GCS1","ADP-ribosylation factor GTPase activating protein (ARF GAP); involved in ER-Golgi transport; required for prospore membrane formation; regulates phospholipase Spo14p; shares functional similarity with Glo3p; GCS1 has a paralog, SPS18, that arose from the whole genome duplication [Source:SGD;Acc:S000002385]","ENSG,ENSP"
"YDL227C","YDL227C","HO","Site-specific endonuclease; required for gene conversion at the MAT locus (homothallic switching) through the generation of a ds DNA break; expression restricted to mother cells in late G1 as controlled by Swi4p-Swi6p, Swi5p, and Ash1p [Source:SGD;Acc:S000002386]","ENSG,ENSP"
"YDL228C","YDL228C","YDL228C","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene SSB1 [Source:SGD;Acc:S000002387]","ENSG,ENSP"
"YDL229W","YDL229W","SSB1","Cytoplasmic ATPase that is a ribosome-associated molecular chaperone; functions with J-protein partner Zuo1p; may be involved in folding of newly-made polypeptide chains; member of the HSP70 family; interacts with phosphatase subunit Reg1p; SSB1 has a paralog, SSB2, that arose from the whole genome duplication [Source:SGD;Acc:S000002388]","ENSG,ENSP"
"YDL231C","YDL231C","BRE4","Zinc finger protein containing five transmembrane domains; null mutant exhibits strongly fragmented vacuoles and sensitivity to brefeldin A, a drug which is known to affect intracellular transport [Source:SGD;Acc:S000002390]","ENSG,ENSP"
"YDL232W","YDL232W","OST4","Subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes protein asparagine-linked glycosylation; type I membrane protein required for incorporation of Ost3p or Ost6p into the OST complex [Source:SGD;Acc:S000002391]","ENSG,ENSP"
"YDL234C","YDL234C","GYP7","GTPase-activating protein for yeast Rab family members; members include Ypt7p (most effective), Ypt1p, Ypt31p, and Ypt32p (in vitro); involved in vesicle mediated protein trafficking; contains a PH-like domain [Source:SGD;Acc:S000002393]","ENSG,ENSP"
"YDL235C","YDL235C","YPD1","Osmotic stress-responsive phosphorelay intermediate sensor protein; phosphorylated by the plasma membrane sensor Sln1p in response to osmotic stress and then in turn phosphorylates the response regulators Ssk1p in the cytosol and Skn7p in the nucleus [Source:SGD;Acc:S000002394]","ENSG,ENSP"
"YDL236W","YDL236W","PHO13","Conserved phosphatase acting as a metabolite repair enzyme; shows specific dephosphorylating activity on two side-products of central carbohydrate metabolism, 2-phosphoglycolate and 4-phosphoerythronate; alkaline phosphatase specific for p-nitrophenyl phosphate; also has protein phosphatase activity; human ortholog PGP shows similar substrate specificity, deletion causes similar metabolite accumulation phenotypes, suggesting conserved role in eliminating glycolytic byproducts [Source:SGD;Acc:S000002395]","ENSG,ENSP"
"YDL238C","YDL238C","GUD1","Guanine deaminase; a catabolic enzyme of the guanine salvage pathway producing xanthine and ammonia from guanine; activity is low in exponentially-growing cultures but expression is increased in post-diauxic and stationary-phase cultures [Source:SGD;Acc:S000002397]","ENSG,ENSP"
"YDL240W","YDL240W","LRG1","GTPase-activating protein (GAP); contains Rho1p-specific GAP activity, interacting with activated forms of Rho1p; functions along with Sac7p as a negative regulator of the Pkc1p-mediated cell wall integrity signaling pathway; negative regulator of cell wall 1,3-beta-glucan biosynthesis; required for efficient cell fusion; contains a RhoGAP domain and three Lin-11-Isl1-Mec-3 (LIM) domains [Source:SGD;Acc:S000002399]","ENSG,ENSP"
"YDL241W","YDL241W","YDL241W","Putative protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; YDL241W is not an essential gene [Source:SGD;Acc:S000002400]","ENSG,ENSP"
"YDL243C","YDL243C","AAD4","Putative aryl-alcohol dehydrogenase; involved in oxidative stress response; similar to P. chrysosporium aryl-alcohol dehydrogenase; expression induced in cells treated with the mycotoxin patulin; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family [Source:SGD;Acc:S000002402]","ENSG,ENSP"
"YDR002W","YDR002W","YRB1","Ran GTPase binding protein; involved in nuclear protein import and RNA export, ubiquitin-mediated protein degradation during the cell cycle; shuttles between the nucleus and cytoplasm; is essential; homolog of human RanBP1 [Source:SGD;Acc:S000002409]","ENSG,ENSP"
"YDR004W","YDR004W","RAD57","Protein that stimulates strand exchange; stimulates strand exchange by stabilizing the binding of Rad51p to single-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; forms heterodimer with Rad55p [Source:SGD;Acc:S000002411]","ENSG,ENSP"
"YDR005C","YDR005C","MAF1","Highly conserved negative regulator of RNA polymerase III; involved in tRNA processing and stability; inhibits tRNA degradation via rapid tRNA decay (RTD) pathway; binds N-terminal domain of Rpc160p subunit of Pol III to prevent closed-complex formation; regulated by phosphorylation mediated by TORC1, protein kinase A, Sch9p, casein kinase 2; localizes to cytoplasm during vegetative growth and translocates to nucleus and nucleolus under stress conditions [Source:SGD;Acc:S000002412]","ENSG,ENSP"
"YDR007W","YDR007W","TRP1","Phosphoribosylanthranilate isomerase; catalyzes the third step in tryptophan biosynthesis; in 2004, the sequence of TRP1 from strain S228C was updated by changing the previously annotated internal STOP (TAA) to serine (TCA); enhances vegetative growth at low and high temperatures when used as an auxotrophic marker in strains such as W303 [Source:SGD;Acc:S000002414]","ENSG,ENSP"
"YDR009W","YDR009W","GAL3","Transcriptional regulator; involved in activation of the GAL genes in response to galactose; forms a complex with Gal80p to relieve Gal80p inhibition of Gal4p; binds galactose and ATP but does not have galactokinase activity; GAL3 has a paralog, GAL1, that arose from the whole genome duplication [Source:SGD;Acc:S000002416]","ENSG,ENSP"
"YDR011W","YDR011W","SNQ2","Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter involved in multidrug resistance and resistance to singlet oxygen species [Source:SGD;Acc:S000002418]","ENSG,ENSP"
"YDR012W","YDR012W","RPL4B","Ribosomal 60S subunit protein L4B; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4B has a paralog, RPL4A, that arose from the whole genome duplication [Source:SGD;Acc:S000002419]","ENSG,ENSP"
"YDR013W","YDR013W","PSF1","Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p); complex is localized to DNA replication origins and implicated in assembly of the DNA replication machinery [Source:SGD;Acc:S000002420]","ENSG,ENSP"
"YDR016C","YDR016C","DAD1","Essential subunit of the Dam1 complex (aka DASH complex); complex couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis [Source:SGD;Acc:S000002423]","ENSG,ENSP"
"YDR017C","YDR017C","KCS1","Inositol hexakisphosphate and inositol heptakisphosphate kinase; generation of high energy inositol pyrophosphates by Kcs1p is required for many processes such as vacuolar biogenesis, stress response, RNA polymerase I-mediated rRNA transcription and telomere maintenance; inositol hexakisphosphate is also known as IP6; inositol heptakisphosphate is also known as IP7 [Source:SGD;Acc:S000002424]","ENSG,ENSP"
"YDR018C","YDR018C","YDR018C","Probable membrane protein with three predicted transmembrane domains; similar to C. elegans F55A11.5 and maize 1-acyl-glycerol-3-phosphate acyltransferase; YDR018C has a paralog, CST26, that arose from the whole genome duplication [Source:SGD;Acc:S000002425]","ENSG,ENSP"
"YDR019C","YDR019C","GCV1","T subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm [Source:SGD;Acc:S000002426]","ENSG,ENSP"
"YDR021W","YDR021W","FAL1","Nucleolar protein required for maturation of 18S rRNA; member of the eIF4A subfamily of DEAD-box ATP-dependent RNA helicases; 18S rRNA biogenesis defect of the null mutant is functionally complemented by human EIF4A3 [Source:SGD;Acc:S000002428]","ENSG,ENSP"
"YDR022C","YDR022C","YDR022C","Autophagy-specific protein required for autophagosome formation; forms a complex with Atg17p and Atg29p that localizes other proteins to the pre-autophagosomal structure; constitutively phosphorylated, and phosphorylation of residue S174 is required for function; high-copy suppressor of CIK1 deletion [Source:SGD;Acc:S000002429]","ENSG,ENSP"
"YDR023W","YDR023W","SES1","Cytosolic seryl-tRNA synthetase; class II aminoacyl-tRNA synthetase that aminoacylates tRNA(Ser), displays tRNA-dependent amino acid recognition which enhances discrimination of the serine substrate, interacts with peroxin Pex21p [Source:SGD;Acc:S000002430]","ENSG,ENSP"
"YDR025W","YDR025W","RPS11A","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S11 and bacterial S17; N-terminally propionylated in vivo; RPS11A has a paralog, RPS11B, that arose from the whole genome duplication [Source:SGD;Acc:S000002432]","ENSG,ENSP"
"YDR026C","YDR026C","NSI1","RNA polymerase I termination factor; binds to rDNA terminator element, required for efficient Pol I termination; required for rDNA silencing at NTS1; facilities association of Sir2p with NTS1, contributes to rDNA stability and cell longevity; interacts physically with Fob1p and RENT subunits, Sir2p and Net1p; may interact with ribosomes, based on co-purification experiments; Myb-like DNA-binding protein; NSI1 has a paralog, REB1, that arose from the whole genome duplication [Source:SGD;Acc:S000002433]","ENSG,ENSP"
"YDR027C","YDR027C","VPS54","Component of the GARP (Golgi-associated retrograde protein) complex; GARP is required for the recycling of proteins from endosomes to the late Golgi, and for mitosis after DNA damage induced checkpoint arrest; potentially phosphorylated by Cdc28p; members of the GARP complex are Vps51p-Vps52p-Vps53p-Vps54p [Source:SGD;Acc:S000002434]","ENSG,ENSP"
"YDR029W","YDR029W","YDR029W","Putative protein of unknown function; conserved among S. cerevisiae strains; YDR029W is not an essential gene [Source:SGD;Acc:S000002436]","ENSG,ENSP"
"YDR032C","YDR032C","PST2","Protein with similarity to a family of flavodoxin-like proteins; induced by oxidative stress in a Yap1p dependent manner; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress; PST2 has a paralog, RFS1, that arose from the whole genome duplication [Source:SGD;Acc:S000002439]","ENSG,ENSP"
"YDR033W","YDR033W","MRH1","Protein that localizes primarily to the plasma membrane; also found at the nuclear envelope; long-lived protein that is asymmetrically retained in the plasma membrane of mother cells; the authentic, non-tagged protein is detected in mitochondria in a phosphorylated state; null mutation confers sensitivity to acetic acid [Source:SGD;Acc:S000002440]","ENSG,ENSP"
"YDR034C","YDR034C","LYS14","Transcriptional activator involved in regulating lysine biosynthesis; involved in the regulation of genes of the lysine biosynthesis pathway; requires 2-aminoadipate semialdehyde as co-inducer [Source:SGD;Acc:S000002441]","ENSG,ENSP"
"YDR034C-A","YDR034C-A","YDR034C-A","Putative protein of unknown function; contained within the solo Ty1 LTR element YDRWdelta7 [Source:SGD;Acc:S000007233]","ENSG,ENSP"
"YDR035W","YDR035W","ARO3","3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by phenylalanine or high concentration of tyrosine or tryptophan [Source:SGD;Acc:S000002442]","ENSG,ENSP"
"YDR041W","YDR041W","RSM10","Mitochondrial ribosomal protein of the small subunit; has similarity to E. coli S10 ribosomal protein; essential for viability, unlike most other mitoribosomal proteins [Source:SGD;Acc:S000002448]","ENSG,ENSP"
"YDR042C","YDR042C","YDR042C","Putative protein of unknown function; expression is increased in ssu72-ts69 mutant [Source:SGD;Acc:S000002449]","ENSG,ENSP"
"YDR043C","YDR043C","NRG1","Transcriptional repressor; recruits the Cyc8p-Tup1p complex to promoters; mediates glucose repression and negatively regulates a variety of processes including filamentous growth and alkaline pH response; activated in stochastic pulses of nuclear localization in response to low glucose [Source:SGD;Acc:S000002450]","ENSG,ENSP"
"YDR044W","YDR044W","HEM13","Coproporphyrinogen III oxidase; oxygen-requiring enzyme that catalyzes sixth step in heme biosynthetic pathway; transcription is repressed by oxygen and heme (via Rox1p and Hap1p); human homolog CPOX can complement yeast mutant and allow growth of haploid null after sporulation of a heterozygous diploid [Source:SGD;Acc:S000002451]","ENSG,ENSP"
"YDR047W","YDR047W","HEM12","Uroporphyrinogen decarboxylase; catalyzes the fifth step in the heme biosynthetic pathway; localizes to both the cytoplasm and nucleus; a hem12 mutant has phenotypes similar to patients with porphyria cutanea tarda [Source:SGD;Acc:S000002454]","ENSG,ENSP"
"YDR049W","YDR049W","VMS1","Component of a Cdc48p-complex involved in protein quality control; exhibits cytosolic and ER-membrane localization, with Cdc48p, during normal growth, and contributes to ER-associated degradation (ERAD) of specific substrates at a step after their ubiquitination; forms a mitochondrially-associated complex with Cdc48p and Npl4p under oxidative stress that is required for ubiquitin-mediated mitochondria-associated protein degradation (MAD); conserved in C. elegans and humans [Source:SGD;Acc:S000002456]","ENSG,ENSP"
"YDR052C","YDR052C","DBF4","Regulatory subunit of Cdc7p-Dbf4p kinase complex; required for Cdc7p kinase activity and initiation of DNA replication; phosphorylates the Mcm2-7 family of proteins; cell cycle regulated; relative distribution to the nucleus increases upon DNA replication stress; co-expression of human CDC7 and DBF4 complements single cdc7 or dbf4 null mutations or the cdc7 dbf4 double null mutation [Source:SGD;Acc:S000002459]","ENSG,ENSP"
"YDR053W","YDR053W","YDR053W","Putative protein of unknown function; open reading frame overlaps 5' end of essential DBF4 gene encoding the regulatory subunit of the Cdc7p-Dbf4p kinase complex [Source:SGD;Acc:S000002460]","ENSG,ENSP"
"YDR055W","YDR055W","PST1","Cell wall protein that contains a putative GPI-attachment site; secreted by regenerating protoplasts; up-regulated by activation of the cell integrity pathway, as mediated by Rlm1p; upregulated by cell wall damage via disruption of FKS1; PST1 has a paralog, ECM33, that arose from the whole genome duplication [Source:SGD;Acc:S000002462]","ENSG,ENSP"
"YDR058C","YDR058C","TGL2","Triacylglycerol lipase that is localized to the mitochondria; has lipolytic activity towards triacylglycerols and diacylglycerols when expressed in E. coli [Source:SGD;Acc:S000002465]","ENSG,ENSP"
"YDR060W","YDR060W","MAK21","Constituent of 66S pre-ribosomal particles; required for large (60S) ribosomal subunit biogenesis; acts as part of a Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription and has a role in bigenesis of the large ribosomal subunit; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein [Source:SGD;Acc:S000002467]","ENSG,ENSP"
"YDR061W","YDR061W","YDR061W","Protein with similarity to ABC transporter family members; lacks predicted membrane-spanning regions; transcriptionally activated by Yrm1p along with genes involved in multidrug resistance [Source:SGD;Acc:S000002468]","ENSG,ENSP"
"YDR062W","YDR062W","LCB2","Component of serine palmitoyltransferase; responsible along with Lcb1p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine [Source:SGD;Acc:S000002469]","ENSG,ENSP"
"YDR063W","YDR063W","AIM7","Protein that interacts with Arp2/3 complex; interacts with Arp2/3 complex to stimulate actin filament debranching and inhibit actin nucleation; has similarity to Cof1p and also to human glia maturation factor (GMF); null mutant displays elevated mitochondrial genome loss [Source:SGD;Acc:S000002470]","ENSG,ENSP"
"YDR064W","YDR064W","RPS13","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S13 and bacterial S15 [Source:SGD;Acc:S000002471]","ENSG,ENSP"
"YDR065W","YDR065W","RRG1","Protein of unknown function; required for vacuolar acidification and mitochondrial genome maintenance; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies [Source:SGD;Acc:S000002472]","ENSG,ENSP"
"YDR066C","YDR066C","RTR2","Protein of unknown function; exhibits genetic interactions with Rtr1p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YDR066C is not an essential gene; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress; RTR2 has a paralog, RTR1, that arose from the whole genome duplication [Source:SGD;Acc:S000002473]","ENSG,ENSP"
"YDR068W","YDR068W","DOS2","Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm [Source:SGD;Acc:S000002475]","ENSG,ENSP"
"YDR071C","YDR071C","PAA1","Polyamine acetyltransferase; acetylates polyamines (e.g. putrescine, spermidine, spermine) and also aralkylamines (e.g. tryptamine, phenylethylamine); may be involved in transcription and/or DNA replication [Source:SGD;Acc:S000002478]","ENSG,ENSP"
"YDR073W","YDR073W","SNF11","Subunit of the SWI/SNF chromatin remodeling complex; involved in transcriptional regulation; interacts with a highly conserved 40-residue sequence of Snf2p; relocates to the cytosol under hypoxic conditions [Source:SGD;Acc:S000002480]","ENSG,ENSP"
"YDR074W","YDR074W","TPS2","Phosphatase subunit of the trehalose-6-P synthase/phosphatase complex; involved in synthesis of the storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002481]","ENSG,ENSP"
"YDR075W","YDR075W","PPH3","Catalytic subunit of protein phosphatase PP4 complex; Pph3p and Psy2p form active complex, Psy4p may provide substrate specificity; regulates recovery from the DNA damage checkpoint, the gene conversion- and single-strand annealing-mediated pathways of meiotic double-strand break repair and efficient Non-Homologous End-Joining (NHEJ) pathway; involved in activation of Gln3p to alleviate nitrogen catabolite repression; Pph3p and Psy2p localize to foci on meiotic chromosomes [Source:SGD;Acc:S000002482]","ENSG,ENSP"
"YDR076W","YDR076W","RAD55","Protein that stimulates strand exchange; stimulates strand exchange by stabilizing the binding of Rad51p to single-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; forms heterodimer with Rad57p [Source:SGD;Acc:S000002483]","ENSG,ENSP"
